period	username	total	v1abs	v2abs	v1rel	v2rel
2017	user00000064	2.0	0.0	2.0	0.0	1.0
2017	user00001853	1.0	0.0	1.0	0.0	1.0
2017	user00003700	1.0	0.0	1.0	0.0	1.0
2017	user00004528	14.0	0.0	14.0	0.0	1.0
2017	user00004394	1.0	0.0	1.0	0.0	1.0
2017	user00000008	25.0	20.0	5.0	0.8	0.2
2017	user00002739	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2017	user00000131	1.0	0.0	1.0	0.0	1.0
2017	user00000066	33.0	31.0	2.0	0.9393939393939394	0.06060606060606061
2017	user00001220	3.0	3.0	0.0	1.0	0.0
2017	user00000583	30.0	0.0	30.0	0.0	1.0
2017	user00013663	1.0	0.0	1.0	0.0	1.0
2017	user00010841	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2017	user00015075	1.0	0.0	1.0	0.0	1.0
2017	user00000053	45.0	7.0	38.0	0.15555555555555556	0.8444444444444444
2017	user00016962	1.0	0.0	1.0	0.0	1.0
2017	user00017006	5.0	5.0	0.0	1.0	0.0
2017	user00000233	39.0	0.0	39.0	0.0	1.0
2017	user00017966	1.0	0.0	1.0	0.0	1.0
2017	user00001142	11.0	11.0	0.0	1.0	0.0
2017	user00018241	1.0	0.0	1.0	0.0	1.0
2017	user00018242	1.0	0.0	1.0	0.0	1.0
2017	user00018759	1.0	0.0	1.0	0.0	1.0
2017	user00019239	1.0	0.0	1.0	0.0	1.0
2017	user00020638	1.0	0.0	1.0	0.0	1.0
2017	user00020723	1.0	0.0	1.0	0.0	1.0
2017	user00003251	17.0	2.0	15.0	0.11764705882352941	0.8823529411764706
2017	user00008094	2.0	0.0	2.0	0.0	1.0
2017	user00025800	2.0	2.0	0.0	1.0	0.0
2017	user00000110	4.0	4.0	0.0	1.0	0.0
2017	user00024790	4.0	2.0	2.0	0.5	0.5
2017	user00026943	3.0	3.0	0.0	1.0	0.0
2017	user00009237	1.0	0.0	1.0	0.0	1.0
2017	user00020711	2.0	1.0	1.0	0.5	0.5
2017	user00029011	1.0	0.0	1.0	0.0	1.0
2017	user00007674	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2017	user00029361	1.0	0.0	1.0	0.0	1.0
2017	user00001879	1.0	0.0	1.0	0.0	1.0
2017	user00029556	5.0	0.0	5.0	0.0	1.0
2017	user00000482	4.0	0.0	4.0	0.0	1.0
2017	user00020724	1.0	1.0	0.0	1.0	0.0
2017	user00002513	2.0	0.0	2.0	0.0	1.0
2017	user00004106	5.0	1.0	4.0	0.2	0.8
2017	user00029979	1.0	0.0	1.0	0.0	1.0
2017	user00005237	1.0	0.0	1.0	0.0	1.0
2017	user00009219	1.0	0.0	1.0	0.0	1.0
2017	user00001938	1.0	0.0	1.0	0.0	1.0
2017	user00001676	12.0	0.0	12.0	0.0	1.0
2017	user00000355	6.0	3.0	3.0	0.5	0.5
2017	user00032966	1.0	0.0	1.0	0.0	1.0
2017	user00001962	1.0	1.0	0.0	1.0	0.0
2017	user00005637	4.0	1.0	3.0	0.25	0.75
2017	user00017370	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2017	user00004780	10.0	3.0	7.0	0.3	0.7
2017	user00033782	3.0	0.0	3.0	0.0	1.0
2017	user00028621	4.0	0.0	4.0	0.0	1.0
2017	user00005264	2.0	2.0	0.0	1.0	0.0
2017	user00034513	1.0	1.0	0.0	1.0	0.0
2017	user00001645	1.0	1.0	0.0	1.0	0.0
2017	user00024630	1.0	0.0	1.0	0.0	1.0
2017	user00035897	2.0	0.0	2.0	0.0	1.0
2017	user00000805	19.0	0.0	19.0	0.0	1.0
2017	user00017100	15.0	2.0	13.0	0.13333333333333333	0.8666666666666667
