period	username	total	v1abs	v2abs	v1rel	v2rel
2014	user00006155	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
2014	user00000139	8.0	0.0	8.0	0.0	1.0
2014	user00278760	1.0	0.0	1.0	0.0	1.0
2014	user00218095	1.0	0.0	1.0	0.0	1.0
2014	user00044240	1.0	0.0	1.0	0.0	1.0
2014	user00006368	1.0	0.0	1.0	0.0	1.0
2014	user00048789	1.0	0.0	1.0	0.0	1.0
2014	user00066680	2.0	0.0	2.0	0.0	1.0
2014	user00062373	3.0	3.0	0.0	1.0	0.0
2014	user00050187	33.0	11.0	22.0	0.3333333333333333	0.6666666666666666
2014	user00002306	4.0	4.0	0.0	1.0	0.0
2014	user00009032	1.0	0.0	1.0	0.0	1.0
2014	user00141875	3.0	0.0	3.0	0.0	1.0
2014	user00127599	210.0	3.0	207.0	0.014285714285714285	0.9857142857142858
2014	user00017748	1.0	1.0	0.0	1.0	0.0
2014	user00022795	2.0	1.0	1.0	0.5	0.5
2014	user00009213	14.0	13.0	1.0	0.9285714285714286	0.07142857142857142
2014	user00165026	1.0	0.0	1.0	0.0	1.0
2014	user00278866	1.0	1.0	0.0	1.0	0.0
2014	user00073054	3.0	0.0	3.0	0.0	1.0
2014	user00010380	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2014	user00278878	1.0	0.0	1.0	0.0	1.0
2014	user00007837	11.0	0.0	11.0	0.0	1.0
2014	user00022130	3.0	3.0	0.0	1.0	0.0
2014	user00047312	3.0	3.0	0.0	1.0	0.0
2014	user00032878	2.0	0.0	2.0	0.0	1.0
2014	user00005016	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2014	user00085349	1.0	0.0	1.0	0.0	1.0
2014	user00244855	1.0	1.0	0.0	1.0	0.0
2014	user00084758	41.0	1.0	40.0	0.024390243902439025	0.975609756097561
2014	user00102046	1.0	0.0	1.0	0.0	1.0
2014	user00070185	148.0	143.0	5.0	0.9662162162162162	0.033783783783783786
2014	user00147577	2.0	2.0	0.0	1.0	0.0
2014	user00044489	47.0	42.0	5.0	0.8936170212765957	0.10638297872340426
2014	user00012692	7.0	7.0	0.0	1.0	0.0
2014	user00044413	22.0	1.0	21.0	0.045454545454545456	0.9545454545454546
2014	user00041081	2.0	0.0	2.0	0.0	1.0
2014	user00018407	4.0	0.0	4.0	0.0	1.0
2014	user00041492	16.0	0.0	16.0	0.0	1.0
2014	user00025832	2.0	1.0	1.0	0.5	0.5
2014	user00126664	2.0	1.0	1.0	0.5	0.5
2014	user00032975	3.0	0.0	3.0	0.0	1.0
