period	username	total	v1abs	v2abs	v1rel	v2rel
2019	user00254136	1.0	0.0	1.0	0.0	1.0
2019	user00273542	1.0	0.0	1.0	0.0	1.0
2019	user00225374	2.0	0.0	2.0	0.0	1.0
2019	user00000580	1.0	0.0	1.0	0.0	1.0
2019	user00038703	1.0	0.0	1.0	0.0	1.0
2019	user00060664	1.0	0.0	1.0	0.0	1.0
2019	user00037024	1.0	0.0	1.0	0.0	1.0
2019	user00191222	2.0	0.0	2.0	0.0	1.0
2019	user00065043	2.0	0.0	2.0	0.0	1.0
2019	user00001960	2.0	0.0	2.0	0.0	1.0
2019	user00057295	1.0	0.0	1.0	0.0	1.0
2019	user00241641	1.0	0.0	1.0	0.0	1.0
2017	user00106239	2.0	0.0	2.0	0.0	1.0
2017	user00176670	1.0	0.0	1.0	0.0	1.0
2017	user00054264	1.0	0.0	1.0	0.0	1.0
2017	user00013775	1.0	0.0	1.0	0.0	1.0
2017	user00218426	1.0	0.0	1.0	0.0	1.0
2017	user00086044	1.0	0.0	1.0	0.0	1.0
2020	user00073732	1.0	0.0	1.0	0.0	1.0
2020	user00030374	1.0	0.0	1.0	0.0	1.0
2020	user00229648	1.0	0.0	1.0	0.0	1.0
2020	user00019681	1.0	0.0	1.0	0.0	1.0
2020	user00106827	1.0	0.0	1.0	0.0	1.0
2020	user00033357	1.0	0.0	1.0	0.0	1.0
2011	user00058360	1.0	1.0	0.0	1.0	0.0
2011	user00046187	1.0	1.0	0.0	1.0	0.0
2014	user00111540	1.0	1.0	0.0	1.0	0.0
2014	user00128613	1.0	0.0	1.0	0.0	1.0
2021	user00051846	1.0	0.0	1.0	0.0	1.0
2021	user00173807	1.0	0.0	1.0	0.0	1.0
2021	user00079627	1.0	0.0	1.0	0.0	1.0
2021	user00241641	1.0	0.0	1.0	0.0	1.0
2021	user00027595	1.0	0.0	1.0	0.0	1.0
2005	user00131803	1.0	1.0	0.0	1.0	0.0
2022	user00064838	1.0	0.0	1.0	0.0	1.0
2022	user00000580	1.0	0.0	1.0	0.0	1.0
2022	user00023414	1.0	0.0	1.0	0.0	1.0
2022	user00160148	1.0	0.0	1.0	0.0	1.0
2022	user00094704	1.0	0.0	1.0	0.0	1.0
2022	user00255161	1.0	0.0	1.0	0.0	1.0
2022	user00387911	1.0	0.0	1.0	0.0	1.0
2022	user00383344	1.0	0.0	1.0	0.0	1.0
2022	user00240938	1.0	0.0	1.0	0.0	1.0
2013	user00018982	1.0	1.0	0.0	1.0	0.0
2013	user00201155	2.0	2.0	0.0	1.0	0.0
2013	user00054784	1.0	0.0	1.0	0.0	1.0
2013	user00050003	1.0	0.0	1.0	0.0	1.0
2015	user00100333	1.0	0.0	1.0	0.0	1.0
2015	user00125284	1.0	0.0	1.0	0.0	1.0
2018	user00240938	1.0	0.0	1.0	0.0	1.0
2018	user00071321	1.0	0.0	1.0	0.0	1.0
2018	user00140418	1.0	0.0	1.0	0.0	1.0
2018	user00016724	1.0	0.0	1.0	0.0	1.0
2008	user00024469	1.0	1.0	0.0	1.0	0.0
2008	user00019648	1.0	1.0	0.0	1.0	0.0
2016	user00314704	1.0	0.0	1.0	0.0	1.0
2012	user00036050	1.0	1.0	0.0	1.0	0.0
