period	username	total	v1abs	v2abs	v1rel	v2rel
2018	user00312937	1.0	0.0	1.0	0.0	1.0
2018	user00297241	1.0	0.0	1.0	0.0	1.0
2018	user00078365	1.0	0.0	1.0	0.0	1.0
2018	user00070045	5.0	0.0	5.0	0.0	1.0
2018	user00017603	1.0	0.0	1.0	0.0	1.0
2018	user00090937	1.0	0.0	1.0	0.0	1.0
2018	user00015175	1.0	0.0	1.0	0.0	1.0
2018	user00253582	1.0	0.0	1.0	0.0	1.0
2018	user00083749	2.0	0.0	2.0	0.0	1.0
2018	user00194228	1.0	0.0	1.0	0.0	1.0
2018	user00040773	1.0	0.0	1.0	0.0	1.0
2018	user00022426	14.0	13.0	1.0	0.9285714285714286	0.07142857142857142
2018	user00203307	1.0	0.0	1.0	0.0	1.0
2018	user00045202	1.0	0.0	1.0	0.0	1.0
2018	user00021211	1.0	0.0	1.0	0.0	1.0
2018	user00263281	2.0	0.0	2.0	0.0	1.0
2018	user00012692	1.0	0.0	1.0	0.0	1.0
2018	user00002483	1.0	0.0	1.0	0.0	1.0
2018	user00017892	16.0	15.0	1.0	0.9375	0.0625
2018	user00076988	1.0	0.0	1.0	0.0	1.0
2018	user00071330	1.0	0.0	1.0	0.0	1.0
2018	user00253080	1.0	0.0	1.0	0.0	1.0
2018	user00059446	1.0	0.0	1.0	0.0	1.0
2018	user00241744	1.0	0.0	1.0	0.0	1.0
2018	user00200711	1.0	0.0	1.0	0.0	1.0
2018	user00081295	1.0	0.0	1.0	0.0	1.0
2018	user00004867	1.0	0.0	1.0	0.0	1.0
2018	user00286665	1.0	0.0	1.0	0.0	1.0
2018	user00241619	1.0	0.0	1.0	0.0	1.0
2018	user00001611	5.0	1.0	4.0	0.2	0.8
2018	user00152548	1.0	1.0	0.0	1.0	0.0
2018	user00187301	1.0	0.0	1.0	0.0	1.0
2018	user00069525	1.0	0.0	1.0	0.0	1.0
2018	user00123987	2.0	0.0	2.0	0.0	1.0
2018	user00032023	1.0	0.0	1.0	0.0	1.0
2012	user00111207	5.0	4.0	1.0	0.8	0.2
