period	username	total	v1abs	v2abs	v1rel	v2rel
2006	user00012543	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
2006	user00070889	2.0	1.0	1.0	0.5	0.5
2006	user00029702	1.0	0.0	1.0	0.0	1.0
2006	user00018565	3.0	0.0	3.0	0.0	1.0
2006	user00025096	1.0	0.0	1.0	0.0	1.0
2006	user00005159	6.0	6.0	0.0	1.0	0.0
2006	user00169195	4.0	4.0	0.0	1.0	0.0
2006	user00025727	6.0	0.0	6.0	0.0	1.0
2006	user00004989	26.0	15.0	11.0	0.5769230769230769	0.4230769230769231
2006	user00046410	30.0	30.0	0.0	1.0	0.0
2006	user00007343	8.0	5.0	3.0	0.625	0.375
2006	user00032917	3.0	0.0	3.0	0.0	1.0
2006	user00167764	1.0	0.0	1.0	0.0	1.0
2006	user00035952	10.0	7.0	3.0	0.7	0.3
2006	user00074069	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	user00021380	3.0	0.0	3.0	0.0	1.0
2006	user00096515	2.0	2.0	0.0	1.0	0.0
2006	user00002121	21.0	18.0	3.0	0.8571428571428571	0.14285714285714285
2006	user00004662	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	user00092004	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2006	user00027848	35.0	29.0	6.0	0.8285714285714286	0.17142857142857143
2006	user00117486	5.0	0.0	5.0	0.0	1.0
2006	user00018511	10.0	9.0	1.0	0.9	0.1
2006	user00084652	1.0	1.0	0.0	1.0	0.0
2006	user00051946	5.0	0.0	5.0	0.0	1.0
2006	user00019226	42.0	31.0	11.0	0.7380952380952381	0.2619047619047619
2006	user00065827	1.0	0.0	1.0	0.0	1.0
2006	user00065507	2.0	0.0	2.0	0.0	1.0
2006	user00057976	37.0	4.0	33.0	0.10810810810810811	0.8918918918918919
2006	user00059934	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	user00007000	1.0	0.0	1.0	0.0	1.0
2006	user00049797	15.0	11.0	4.0	0.7333333333333333	0.26666666666666666
2006	user00036548	1.0	1.0	0.0	1.0	0.0
2006	user00034886	1.0	0.0	1.0	0.0	1.0
2006	user00074024	2.0	0.0	2.0	0.0	1.0
2006	user00244348	35.0	2.0	33.0	0.05714285714285714	0.9428571428571428
2006	user00200732	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2006	user00025520	2.0	1.0	1.0	0.5	0.5
2006	user00193519	22.0	22.0	0.0	1.0	0.0
2006	user00113847	101.0	82.0	19.0	0.8118811881188119	0.18811881188118812
2006	user00108605	2.0	1.0	1.0	0.5	0.5
2006	user00014660	2.0	0.0	2.0	0.0	1.0
2006	user00086355	2.0	2.0	0.0	1.0	0.0
2006	user00049463	10.0	1.0	9.0	0.1	0.9
2006	user00086108	6.0	0.0	6.0	0.0	1.0
2006	user00190099	2.0	2.0	0.0	1.0	0.0
2006	user00245567	1.0	1.0	0.0	1.0	0.0
2006	user00064264	1.0	1.0	0.0	1.0	0.0
2006	user00065162	2.0	0.0	2.0	0.0	1.0
2006	user00216998	1.0	1.0	0.0	1.0	0.0
2006	user00190484	2.0	1.0	1.0	0.5	0.5
2006	user00024531	4.0	0.0	4.0	0.0	1.0
2006	user00056880	15.0	3.0	12.0	0.2	0.8
2006	user00220346	7.0	3.0	4.0	0.42857142857142855	0.5714285714285714
2006	user00007094	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
2006	user00065198	4.0	0.0	4.0	0.0	1.0
2006	user00031130	1.0	0.0	1.0	0.0	1.0
2006	user00040430	12.0	5.0	7.0	0.4166666666666667	0.5833333333333334
2006	user00045877	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	user00028184	1.0	0.0	1.0	0.0	1.0
2006	user00011780	1.0	0.0	1.0	0.0	1.0
2006	user00034633	5.0	1.0	4.0	0.2	0.8
2006	user00000810	97.0	12.0	85.0	0.12371134020618557	0.8762886597938144
2006	user00017786	5.0	0.0	5.0	0.0	1.0
2006	user00041532	1.0	0.0	1.0	0.0	1.0
2006	user00033095	15.0	4.0	11.0	0.26666666666666666	0.7333333333333333
2006	user00046614	4.0	1.0	3.0	0.25	0.75
2006	user00208777	1.0	0.0	1.0	0.0	1.0
2006	user00026118	1.0	1.0	0.0	1.0	0.0
2006	user00080461	4.0	0.0	4.0	0.0	1.0
2006	user00368669	2.0	0.0	2.0	0.0	1.0
2006	user00276195	2.0	2.0	0.0	1.0	0.0
2006	user00241172	1.0	1.0	0.0	1.0	0.0
2006	user00015062	1.0	1.0	0.0	1.0	0.0
2006	user00094479	8.0	2.0	6.0	0.25	0.75
2006	user00065301	15.0	0.0	15.0	0.0	1.0
2006	user00294406	7.0	0.0	7.0	0.0	1.0
2006	user00119175	11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
2006	user00029972	1.0	1.0	0.0	1.0	0.0
2006	user00003127	5.0	5.0	0.0	1.0	0.0
2006	user00035288	5.0	0.0	5.0	0.0	1.0
2006	user00213713	1.0	0.0	1.0	0.0	1.0
2006	user00024678	5.0	5.0	0.0	1.0	0.0
2006	user00118324	9.0	8.0	1.0	0.8888888888888888	0.1111111111111111
2006	user00005687	39.0	22.0	17.0	0.5641025641025641	0.4358974358974359
2006	user00012758	2.0	2.0	0.0	1.0	0.0
2006	user00066536	5.0	0.0	5.0	0.0	1.0
2006	user00008603	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
2006	user00023518	4.0	4.0	0.0	1.0	0.0
2006	user00000260	17.0	17.0	0.0	1.0	0.0
2006	user00206942	3.0	0.0	3.0	0.0	1.0
2006	user00040587	1.0	1.0	0.0	1.0	0.0
2006	user00005686	3.0	3.0	0.0	1.0	0.0
2006	user00347642	1.0	1.0	0.0	1.0	0.0
2006	user00011431	1.0	1.0	0.0	1.0	0.0
2006	user00008277	13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
2006	user00000324	1.0	0.0	1.0	0.0	1.0
2006	user00046615	4.0	1.0	3.0	0.25	0.75
2006	user00010682	5.0	2.0	3.0	0.4	0.6
2006	user00000780	1.0	1.0	0.0	1.0	0.0
2006	user00006430	2.0	0.0	2.0	0.0	1.0
2006	user00028502	4.0	4.0	0.0	1.0	0.0
2006	user00077296	1.0	1.0	0.0	1.0	0.0
2006	user00044778	9.0	9.0	0.0	1.0	0.0
2006	user00038056	2.0	0.0	2.0	0.0	1.0
2006	user00024469	1.0	0.0	1.0	0.0	1.0
2006	user00041521	2.0	2.0	0.0	1.0	0.0
2006	user00109874	4.0	0.0	4.0	0.0	1.0
2006	user00018914	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333
2006	user00009068	2.0	0.0	2.0	0.0	1.0
2006	user00075495	2.0	0.0	2.0	0.0	1.0
2006	user00038964	1.0	0.0	1.0	0.0	1.0
2006	user00057640	4.0	0.0	4.0	0.0	1.0
2006	user00088738	1.0	0.0	1.0	0.0	1.0
2006	user00022014	1.0	1.0	0.0	1.0	0.0
2006	user00242598	1.0	0.0	1.0	0.0	1.0
2006	user00033951	11.0	0.0	11.0	0.0	1.0
2006	user00069437	7.0	7.0	0.0	1.0	0.0
2006	user00021784	8.0	8.0	0.0	1.0	0.0
2006	user00000801	4.0	0.0	4.0	0.0	1.0
2006	user00001517	2.0	0.0	2.0	0.0	1.0
2006	user00076968	3.0	0.0	3.0	0.0	1.0
2006	user00092508	4.0	1.0	3.0	0.25	0.75
2006	user00201004	2.0	1.0	1.0	0.5	0.5
2006	user00193645	4.0	4.0	0.0	1.0	0.0
2006	user00037249	2.0	0.0	2.0	0.0	1.0
2006	user00040418	2.0	0.0	2.0	0.0	1.0
2006	user00063723	2.0	2.0	0.0	1.0	0.0
2006	user00006080	1.0	1.0	0.0	1.0	0.0
2006	user00283817	8.0	8.0	0.0	1.0	0.0
2006	user00018110	4.0	0.0	4.0	0.0	1.0
2006	user00014956	13.0	10.0	3.0	0.7692307692307693	0.23076923076923078
2006	user00009983	2.0	0.0	2.0	0.0	1.0
2006	user00014144	11.0	0.0	11.0	0.0	1.0
2006	user00008103	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2006	user00092651	4.0	3.0	1.0	0.75	0.25
2006	user00001774	6.0	0.0	6.0	0.0	1.0
2006	user00095338	1.0	0.0	1.0	0.0	1.0
2006	user00004589	9.0	0.0	9.0	0.0	1.0
2006	user00066002	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2006	user00197412	1.0	0.0	1.0	0.0	1.0
2006	user00097111	4.0	0.0	4.0	0.0	1.0
2006	user00057327	3.0	3.0	0.0	1.0	0.0
2006	user00027526	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	user00001915	3.0	0.0	3.0	0.0	1.0
2006	user00120418	4.0	0.0	4.0	0.0	1.0
2006	user00072252	1.0	0.0	1.0	0.0	1.0
2006	user00070218	6.0	6.0	0.0	1.0	0.0
2006	user00036361	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2006	user00047817	4.0	3.0	1.0	0.75	0.25
2006	user00296151	1.0	1.0	0.0	1.0	0.0
2006	user00012773	4.0	1.0	3.0	0.25	0.75
2006	user00135670	4.0	4.0	0.0	1.0	0.0
2006	user00269858	2.0	0.0	2.0	0.0	1.0
2006	user00002456	3.0	0.0	3.0	0.0	1.0
2006	user00005278	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	user00238066	1.0	0.0	1.0	0.0	1.0
2006	user00119546	4.0	2.0	2.0	0.5	0.5
2006	user00049135	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2006	user00213726	3.0	0.0	3.0	0.0	1.0
2006	user00073191	6.0	0.0	6.0	0.0	1.0
2006	user00071476	2.0	0.0	2.0	0.0	1.0
2006	user00129463	1.0	0.0	1.0	0.0	1.0
2006	user00214106	13.0	0.0	13.0	0.0	1.0
2006	user00032135	1.0	1.0	0.0	1.0	0.0
2006	user00078487	5.0	0.0	5.0	0.0	1.0
2006	user00040496	4.0	1.0	3.0	0.25	0.75
2006	user00017228	1.0	1.0	0.0	1.0	0.0
2006	user00017173	6.0	6.0	0.0	1.0	0.0
2006	user00057297	9.0	9.0	0.0	1.0	0.0
2006	user00204994	4.0	1.0	3.0	0.25	0.75
2006	user00003261	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2006	user00033461	5.0	5.0	0.0	1.0	0.0
