variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.09295055750061176	0.1869608500659128	0.05087237930876631	0.2149818703120817	0.14584009868913445	0.009066264701694138	0.008175732952477532	0.006910511495919924	0.006297660084669143	0.050412003425574725	0.05060378262858034	0.0028481106802190626	0.003043588385794771	0.010366187311206754	0.04040457357986271	0.19852453622210942	0.06739116920903847
försöka	0.13122698374085295	0.04060861229616275	0.16747308256027993	0.09824746236933868	0.11685053980913374	0.08560395293239653	0.074565089489119	0.04917115685392026	0.011668775363190886	0.01838060004082276	0.0073099812486401294	0.0055421951256031665	0.031063140952818702	0.05518205242262164	0.031783066234103985	0.09274824274824278	0.06358905838670299
glömma	0.11651676198182004	0.2630145100524255	0.025009707102622847	0.08317071313375501	0.007641682835670571	0.07180406620483981	0.033538573844611896	0.025339342231068707	0.024968339460315625	0.002147832210335987	0.00044698792738473436	0.033231825548669214	0.005406965834410138	0.038056273323314405	0.023803421296807792	0.10476701695909785	0.05367900124669688
komma	0.505168788957798	0.44306539419516966	0.40363145995410665	0.42048177336086195	0.3645697069175764	0.26782537490811115	0.2088675979535901	0.197058944577854	0.12280166603250475	0.018576692605523304	0.009921317085289205	0.0815013241446465	0.1432220745453774	0.2243802635847475	0.26926313679149494	0.21466798236600815	0.2434377186237912
planera	0.05084866839544833	0.04986546746848328	0.02974626999908155	0.07370626080365353	0.0035476804952774693	0.06018121488224193	0.056175846157184996	0.03530558568237592	0.0677383212100229	0.01118644070364306	0.010227777592389617	0.0062115646967983995	0.004970169526740044	0.028816730795476475	0.015939357156384233	0.059863369563525705	0.03527067032054546
riskera	0.1601792444785607	0.0159659523620104	0.10431742222598991	0.034923012709819276	0.37226512378294296	0.07432505514750007	0.1521528818112025	0.02857876019969536	0.05389696100537619	0.01765854256516214	0.037442936693107706	0.0594692028190034	0.055713655242701055	0.0850654573060064	0.07460351128943465	0.1486653747966724	0.09220144340219909
slippa	0.0935519358367255	0.10688452278210459	0.10952933259233821	0.08985454742851484	0.09376873050468915	0.04909422038047129	0.0430799705083329	0.0219616295359647	0.009853106286135227	0.005766282305332493	0.0015144546234817646	0.012433459497359078	0.030742543372301312	0.03772887019568427	0.02952331645957973	0.08695652173913049	0.051390215253009096
sluta	0.07415847466978553	0.046666077571498654	0.0808770234265549	0.05782844393697961	0.0006344847967326706	0.03699367876125548	0.03538669127257443	0.022664029389160567	0.024756472374785288	0.03521947245502055	0.0023250308845874645	0.00415793942011089	0.0016657563951747445	0.021653455244062703	0.004890655566346047	0.028626142597914184	0.029906489297658982
vägra	0.17640400180477134	0.26124524236065727	0.01606478811079537	0.07472018055392304	0.02790897578749807	0.01003923212182245	0.02270077801385395	0.020905009306198874	0.01036053264960135	0.023122024329236934	0.016363232351463197	0.031997952598889046	0.03584681238486431	0.052956034167128685	0.03989102040832393	0.03527486148829684	0.05348754240233279
mean	0.15566726859626379	0.157141847683825	0.10972460725339286	0.12754602940099194	0.12589189151318392	0.07388145111559254	0.07051590688921637	0.045321663252462036	0.03692687049628904	0.02027443229340577	0.015128389003880463	0.026377063836810974	0.034630522960020275	0.06157836937224987	0.058900228753593104	0.10778822760899975	0.07670592312688611
