variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.03778493410822836	0.16567612748154315	0.04590587283556846	0.2167960694254104	0.15034711358412028	0.0034598263172047616	0.014282668904408768	0.013295853973799399	0.012879466697081732	0.043663910118639127	0.04370050869202646	0.009902478957060312	0.004160370888777076	0.003013190098649088	0.032902741890107445	0.19087394490439802	0.061790317429813925
försöka	0.18816872064710033	0.0015997468340667176	0.09101623000884851	0.016112783075590276	0.042655100223065734	0.024655461861944117	0.028858613941622036	0.019446498686651048	0.001801109194051409	0.021266012401602974	0.026587685659658522	0.030141413070803202	0.021031378775385856	0.01332522112072354	0.04703317995842027	0.013932141659214525	0.036726956069921816
glömma	0.09318361174503331	0.24956847723654074	0.016964340509145526	0.078089621273425	0.0044805995025545275	0.07015595358654192	0.033250434152512165	0.026354441506978188	0.022670933696056217	0.005719835526969308	0.005290751712024089	0.02711734515338249	0.001977847137241362	0.029401269056406165	0.013878277709435727	0.09357175317177047	0.048229718292251075
komma	0.5304192513323738	0.36450999747662793	0.2877715641703519	0.30343130027941284	0.261807510504131	0.1853848581597219	0.14901660255053328	0.16063842146608598	0.11012189126418392	0.029751933494415628	0.025150992736469147	0.022516472596276094	0.0603189888420248	0.11755684955767742	0.1385186240334847	0.060002087459321785	0.17543233412019327
planera	0.0782815034582767	0.042181669661414636	0.031157344585298143	0.06898611544054267	0.0020016726469856833	0.054769263819412384	0.05126462747460572	0.03958134346162346	0.06414773357631193	0.008299329950830818	0.00805088106436834	0.0047473612856597305	0.00421957121489	0.028780073089120436	0.015261950830513973	0.058471853799150444	0.03501264345993782
riskera	0.16666666666666666	0.040868569045348135	0.0596805559593237	0.08206309521713946	0.33000724970599465	0.03982810671367194	0.12649891418637518	0.044988504140749085	0.04687948274238844	0.020087850336853896	0.02554677800982824	0.03809881069097731	0.02486631364191909	0.04474016704186453	0.024799904777580623	0.08938331681001863	0.07531276785541872
slippa	0.15218217710034554	0.08362095913729539	0.05341842559725429	0.027531242217234353	0.03664907955605379	0.00162801341360308	0.006939799027299909	0.002232283531072965	0.0021657118068995063	0.006006834265932404	0.011016482761969648	0.012399274895855017	0.0016974072803646045	0.005289818415485259	0.0029154046432720016	0.05451792228576402	0.02876317724598136
sluta	0.15268397016575264	0.048078703393352074	0.04930138560921793	0.01722664746145053	0.03999199835118472	0.00288369753786466	0.008028987856875669	0.0026165867933720666	0.012225163208998802	0.03028011472055936	0.005005527532907839	0.0061526780315280805	0.019610271657987344	0.003926347340910463	0.028324945517028244	0.012225445035593419	0.02741015438841149
vägra	0.15428845256784784	0.26562819431653817	0.03135380091962203	0.09244769550167697	0.011372254506019086	0.0038920556087478353	0.011906660118760182	0.028364781286288165	0.01441320891182285	0.023740812846000048	0.013538272975675558	0.03827028774210517	0.026125766781971316	0.0397857870890207	0.023271391219166437	0.05534393924089087	0.05210896010200958
mean	0.17262880975462502	0.14019249384252522	0.0740632800216256	0.1002982855435425	0.09770139762001216	0.0429619152243014	0.0477830342458881	0.03750207942740226	0.03192274456642165	0.02097962596242262	0.01820976457165865	0.021038458047071933	0.018223101802284605	0.03175763586776196	0.03632293561988994	0.0698136004851247	0.060087447662659894
