variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.3902814292431853	0.13459254329949488	0.01855255828995117	0.2122065924225086	0.14624741417387005	0.01742192303750234	0.0022903637700343316	0.0014460268938908394	0.0010776884726336755	0.059926969083000325	0.059956950885216465	0.0020910297245896325	0.008287965501333705	0.01603105475614175	0.048295668836603745	0.21882045120298887	0.08359541434955911
försöka	0.15668229103990827	0.09686600545732216	0.049956104053432315	0.013755053274500884	0.021037630592086964	0.004088813722527451	0.009509866048393989	0.00031755979681946656	0.023131562162759578	0.001810334022948057	0.007571098871781201	0.01141324979154712	0.001581509993888841	0.006736225424927023	0.02965072375824307	0.03615927203434177	0.02939170625283926
glömma	0.4325664684602395	0.2050703462008815	0.020421488707295432	0.0639446573110587	0.0074607239842025	0.06601825573138298	0.027306672222856765	0.020252535237212377	0.032521755463964075	0.0018272405662627111	0.0022717581095695882	0.037248224514081385	0.005838541683500398	0.039710347045138095	0.022953453013789815	0.10897988210204312	0.06839952189709243
komma	0.3869191856099487	0.07349954392621855	0.13490868480103047	0.21328420938575104	0.19364445292254795	0.1208479727310296	0.08508869347750903	0.0988959399188506	0.04483905448512815	0.04174550917680153	0.046651887978219286	0.0980850563348078	0.13888363209854337	0.20066715209615416	0.2232936797892986	0.13853722007433134	0.13998699217538563
planera	0.18702350799079623	0.07987263901195268	0.04842129456529877	0.06315443655130702	0.011057412096932576	0.05071221575631494	0.04723043235192524	0.05069845878903269	0.061285713869506604	0.0010171941221931158	0.0007533859240111268	0.0028110305975294902	0.0033801814341134773	0.023132289971821637	0.024409565201398697	0.07105324450387811	0.045375812671125774
riskera	0.2410513566569952	0.13301662790865457	0.027723366183856082	0.10815749009140499	0.33995115699870493	0.030584976790421936	0.12494955882145115	0.059747120668226884	0.039514808961415335	0.010639631383511539	0.03860514028684563	0.052149254277992975	0.03786330418948655	0.05931575600906521	0.03779062909332051	0.1075062537042212	0.09053540200159842
slippa	0.055212112153763315	0.011804372468436686	0.023409915695997263	0.014192055992567565	0.031202590267192853	0.00375998627226537	0.002956504868524501	0.006574685546596681	0.006369322119442633	0.002501492650271553	0.00792746476264361	0.009426913825991368	0.0021228906956652915	0.009664467029082524	0.0008068634960842758	0.06280417562261953	0.015670988341696564
sluta	0.04136932503774271	0.024758622260962704	0.018706309086792272	0.0004964303057880537	0.054748935592907166	0.006387224433917815	1.822725782885115e-05	0.005504300028187137	0.004983070315532245	0.024515545557569962	0.002750731595420275	0.0015066097959084424	0.01302254874519948	0.003906928841587165	0.02243086040484299	0.005052076407877304	0.014384859104254036
vägra	0.39375706242913666	0.1903845421235374	0.0219261905306265	0.06786990742371657	0.033861985852319476	0.013982186631542382	0.029731492638647272	0.014197304396325605	0.0006811459398944342	0.009452722931775015	0.0015361391346854214	0.05745269560605226	0.012063731032745051	0.0268104892658233	0.00898418398401346	0.07587838081139175	0.059910635045764535
mean	0.2538736376246351	0.10554058251749568	0.04044732354603114	0.08411787030651148	0.09324581138675161	0.03486706167854498	0.036564645717463456	0.02862599236390469	0.023822680198919637	0.017048515499370424	0.018669395283154734	0.030242673829833384	0.024782700597164017	0.042886078937748984	0.04651284750862169	0.09164343960707699	0.06080570353770175
