variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.12295276074927747	0.08859741173123847	0.05349110051175854	0.004644903798675881	0.019417429948376252	0.01775508536835202	0.02558420966747199	0.024014651184690594	0.04455719411998015
försöka	0.0911877423372015	0.07710720557724093	0.07489547281557496	0.04672576391612493	0.023138360469299513	0.002670560485469986	0.01817282530041564	0.04501253077999334	0.0473638077101651
glömma	0.09920993414497314	0.07549968387535078	0.030274858010227	0.01219663152511774	0.0024959079902288073	0.010816167206932459	0.012940665822751107	0.01002242073920312	0.03168203366434802
komma	0.0030469289695120305	0.04107726395840827	0.049860778776258885	0.02904689518197545	0.013653202766118588	0.01684651453503272	0.030666279401470375	0.006172111995693008	0.023796246948058666
planera	0.013562753641222544	0.02467104712653395	0.01711844114145329	0.022180934491451462	0.007951591780487655	0.014649913035648957	0.005083739166872048	0.010102507545737542	0.014415115991175932
riskera	0.00599754244423964	0.04106316811797263	0.04159314587709785	0.05891519256684344	0.012720000632655173	0.013403185502012083	0.0413403576255655	0.048317978874077835	0.03291882145505802
slippa	0.055321480098931675	0.04194565610536527	0.03311391335649316	0.01647872633313552	0.00719989587372416	0.003989221551640054	0.018307571380624665	0.03618970047319947	0.026568270646639247
sluta	0.051523567159062256	0.034032505727234375	0.02830251946201523	0.021934088573713817	0.018837044020627025	0.01227078873964249	0.003905721884136626	0.0011385376605733688	0.02149309665337565
vägra	0.12187711247030242	0.07060895645509924	0.0012437149325827956	0.011181024898030634	0.007008924382102877	0.009196404450530826	0.017208850876441528	0.04172721241455979	0.03500652510995626
mean	0.0627422024460803	0.05495587763049377	0.036654882764829075	0.024811573476118762	0.012491373095957783	0.011288648986140177	0.019245580125083275	0.024744183518636456	0.03086679025541745
