variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.0361408555349263	0.0178385678972115	0.0015490476405732867	0.03967337969350748	0.033076311995927865	0.008370142158598659	0.008586361977736767	0.04895021166304658	0.024273109820191055
försöka	0.020053486791046127	0.004411576695157793	0.018123267531086173	0.007939189813915726	0.002829458017921782	0.004990429481362746	0.00014360199390017758	0.008812048252268667	0.008412882322082399
glömma	0.02559495061528816	0.01798022783097364	0.015105390731922852	0.017415343791613358	0.01749170075149864	0.010978549738490773	0.004631656901205927	0.03499037949578643	0.018023524982097472
komma	0.046703874626169206	0.009940199379271986	0.029200207974529213	0.015810465061515566	0.00693049041051097	0.017279042957965562	0.02365050814615144	0.01310548073186002	0.020327533660996745
planera	0.017712975504666814	0.004367983357617525	0.0014152224539245584	0.010867582838091513	0.0005110973665608115	0.010155406120181829	0.0077743109413482	0.009768878136710894	0.007821682089887767
riskera	0.06433818237993849	0.0036569669003726074	0.01853052595431645	0.04869703454135428	0.010805186264489494	0.005555333628914333	0.02430686263385328	0.016872159447347462	0.024095281468823303
slippa	0.0055941125969032335	0.0008999343531119752	0.00462055034078801	0.0004359309316526172	0.001906530743110646	0.0024115418565042734	0.0005087795001411655	0.006012167032043769	0.0027986934192819612
sluta	0.007452469560627506	0.004811870733698265	0.002304373785872005	0.0017744812074859118	0.0017926818284017543	0.0014006425431860592	0.0011111621873742816	0.0011665879619002784	0.0027267837260682576
vägra	0.08915317834873526	0.023586515856656498	0.05028089142839143	0.04877500141440705	0.03430234606997584	0.006941910611459545	0.013888531677954452	0.06854155241653659	0.04193374097801458
mean	0.03474934288425568	0.009721538111563531	0.01568105309348933	0.021265378810393722	0.012182867049821978	0.007564777677407087	0.009400197328851743	0.023135496126388967	0.016712581385271503
