variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.00879445893708163	0.18428740562181006	0.06764296850845963	0.0648685099151386	0.07220713461268201	0.014918084934919739	0.08487621029347395	0.017786301885212054	0.06442263433859721
försöka	0.07067703442913068	0.033180106543464684	0.02901938245490659	0.01386435976409124	0.008842637938144153	0.004374825435313639	0.020236486519001406	0.001381934916706447	0.02269709600009485
glömma	0.12510979133654948	0.04764698055020174	0.0263201488603635	0.018294108763632067	0.03444378692835193	0.010989157468242628	0.023772314959464056	0.040634783190598794	0.04090138400717552
komma	0.2076010283116948	0.0746334866687831	0.03234052029043278	0.06441782437122975	0.00030281306734950377	0.000881763638475417	0.045719893074715634	0.006116913044926098	0.054001780308450896
planera	0.2699206631509025	0.13491434125603324	0.3784359352723723	0.2935528227444218	0.2906579131472857	0.011417065413369062	0.2519083993644525	0.6543679557301376	0.28564688700987184
riskera	0.25949046421744604	0.7792162616170731	0.6513258156447809	0.2287186742567668	0.3259668748720744	0.4101329657505052	0.35439832526399484	0.19931856847740262	0.40107099376250555
slippa	0.026325132997057056	0.018222974624893036	0.005541357710087543	0.0030255510640222233	0.0006587672905857873	0.011972953257536655	0.003624925830981688	0.01127326133218754	0.01008061551341894
sluta	0.0070048665718523365	0.021422004243033702	0.019616457615534107	0.0015629331287666593	0.01610150274317024	0.010205346718163661	0.007054132251133089	0.008934773866453829	0.011487752142263453
vägra	0.2862587421963992	0.04932955194903041	0.12254144552258056	0.06632857459187881	0.02420962200783663	0.04203759348179739	0.06445977219812896	0.08598273862964284	0.09264350507216185
mean	0.14013135357201265	0.14920590145270257	0.14808711465327978	0.08384815095554977	0.08593233917860893	0.057436639566480374	0.09511671775059401	0.11397747011925197	0.10921696090606005
