variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.09646140090708666	0.14209161658666358	0.018958909028474746	0.004823535764585496	0.03191469857294238	0.02246581040075679	0.004255122364112185	0.05366314272289374	0.04682927954343945
försöka	0.05540878887096323	0.09846294723892601	0.07777973696524021	0.04740529504600177	0.010180863569065224	0.0030068637174458512	0.03424190089859114	0.04041146979682819	0.045862233262882704
glömma	0.18977979444653503	0.0645117352764848	0.04324713563768168	0.01781505986119203	0.024212826956984457	0.03568491051028355	0.04232210005573234	0.06887336916447029	0.06080586648867052
komma	0.0260243149389901	0.047354065244548826	0.028814679944764554	0.041011597322532956	0.007005822599779332	0.002983828155333823	0.03091360341811311	0.0019179799301121125	0.023253236444271852
planera	0.005514239905918178	0.00470930330849946	0.04542261788655083	0.00232473510418494	0.04417834725994016	0.027293780413156644	0.046468369790091404	0.015275979386830625	0.02389842163189653
riskera	0.055845123292813374	0.007210132844079356	0.11681664034457592	0.04527298260082527	0.03763596354576555	0.035006623882223885	0.04534727066001694	0.055025061025956605	0.04976997477453211
slippa	0.004541798741597769	0.02741700224662358	0.01842299609671816	0.01177492562791127	0.014833220930991264	0.026850093725439894	0.015467211191940722	0.012979204981125148	0.016535806692793475
sluta	0.035025433116375515	0.04779474195640476	0.010562555519681327	0.019342113439041464	0.029136776676277676	0.002325954296137578	0.0003109933694283029	0.005740935821024307	0.018779938024296366
vägra	0.21411473963437022	0.03942458196067389	0.0300892851389164	0.008454679119252906	0.008437516682604507	0.0171790856354892	0.04151265474382093	0.033540764579274795	0.049094163436800356
behaga	0.2190751129665821	0.13845627109138758	0.03435583368580053	0.12569505861952546	0.12318623430761011	0.016268747935155092	0.10150339652763496	0.2805320580218824	0.12988408914444727
lova	0.16915214169751952	0.04075919858170954	0.058114678242751405	0.06717516734345243	0.009034193646782929	0.004621659898028166	0.03698371560101435	0.09063622910938403	0.0595596230150803
mean	0.09735844441079561	0.05983559966690921	0.04387136986283235	0.03555410453168236	0.030886951340794874	0.01760794168813186	0.036302394420045125	0.05987238132179839	0.047661148405373714
