variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.09507731631018596	0.09466539877660562	0.012177348410841948	0.014013690687659897	0.027915587412175813	0.004460920189780837	0.039132522319967444	0.023514913871349297	0.03886971224732085
försöka	0.06284466031043179	0.031162863688219966	0.02184264101812905	0.0071871866064157075	0.013981835799002695	0.00018612317482025187	0.019554610426277708	0.00149448496973148	0.01978180074912858
glömma	0.050011995473907445	0.03225332577419393	0.002850958795462377	0.004424774320659131	0.01413822591202396	0.0019646554598886645	0.015388127766972182	0.009253605069784898	0.016285708571611573
komma	0.2344857287787539	0.06285435395567723	0.06954245318566832	0.08100661151770505	0.03122823586065948	0.00019612233835508697	0.07062145741972325	0.09136480444575568	0.08016247093778725
planera	0.031938425625455	0.005210040917709727	0.03535900351609145	0.0163164839154172	0.023634056501896608	0.0025097396029143543	0.010603399859439658	0.03748145361360959	0.0203815754440667
riskera	0.04881855616499567	0.06163442916916265	0.09388941063621555	0.0322884838940605	0.036603544844008004	0.03315494819231123	0.033886270242752786	0.03175627785047617	0.046503990124247815
slippa	0.034282626085786694	0.01953397527393097	0.006616489282625371	0.002322224902644554	0.0009582252159122673	0.010463587231688498	0.0058357728336317916	0.012827400533844568	0.01160503767000809
sluta	0.0006117787135400121	0.0169682728100079	0.02050162144088008	0.004513027835822969	0.013391726523339531	0.009878611166773799	0.0041296083549337	0.01222047658305081	0.0102768904285436
vägra	0.17459679974493925	0.04412036186231838	0.08010657451144598	0.03372234228496851	0.0006062580118673111	0.02026963470837717	0.05847157584240037	0.056277526544640466	0.05852138418886968
mean	0.08140754302311064	0.040933669136425155	0.03809850008859557	0.02175498066281706	0.018050855120098408	0.009231593562767766	0.028624816118455427	0.030687882609138104	0.03359873004017602
