variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.24429923713913357	0.09544039258822612	0.03568720910226664	0.02186969634760183	0.028211072594695352	0.007707427962723501	0.057831150849994795	0.18209486842006295	0.0841426318755881
försöka	0.05632137813228688	0.020147690072381597	0.0011366844203775095	0.009354703328541492	0.015593186782631219	0.023397431547681036	4.8598399619126376e-05	0.023604890855708383	0.018700570442403405
glömma	0.08315236187588737	0.03627072063275316	0.015536870790057389	0.022609393314851234	0.010802613590939814	0.010610295213477117	0.00272661545930597	0.01126087062505654	0.024121217687791074
komma	0.021376543489531274	0.0147375239488855	0.02223107686586978	0.010631305636667365	0.006943265356810668	0.015959835445691573	0.013099499614568466	0.022284015748624264	0.01590788326333111
planera	0.012302064572980664	0.007185817484107834	0.039220176112125346	0.03714490653984622	0.013342377134786698	0.013873304530844593	0.020081859758160722	0.04891962626704041	0.02400876654998656
riskera	0.1111111111111111	0.09894902277860113	0.07854285088218582	0.005514168285745968	0.022837412532124512	0.036450704114985986	0.004352877980908956	0.0543859649122807	0.05151801407474302
slippa	0.040476190476190554	0.019360029044163563	0.0017948391140047981	0.012462249571437378	0.006390841739189912	0.015725551343790833	0.0003882659082589113	0.018945649927175734	0.01444295214052646
sluta	0.029495151791491536	0.020785505442839747	0.027540136774589663	0.0017610239123461158	0.021324637562466275	0.009672675904226269	0.005974386768697548	0.019865922948365755	0.017052430138127864
vägra	0.07945203714625115	0.020804997774858558	0.024020191827717974	0.030665577358392704	0.03067194750467328	0.05370674745549142	0.006824330008266322	0.03289417244837456	0.034880000190503246
mean	0.07533178619276268	0.03707574441853525	0.027301115098799438	0.016890336032825592	0.017346372755368638	0.02078933039099026	0.012369731638642313	0.04602844246140992	0.03164160737366675
