variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.0617058363546521	0.13937611869445976	0.03374945273019925	0.011965988112698	0.01925208253365418	0.01563512264831901	0.003988955704206765	0.058098212160419105	0.04297147111732602
försöka	0.1296028509690037	0.07704147561183061	0.035448940474524515	0.011627100097605148	0.008235391449626372	0.006926572389598928	0.005340266700681773	0.014962085349651155	0.036148085380315276
glömma	0.14804753610702814	0.03795207270778578	0.04235120348263555	0.030761937514662607	0.0038356777041763657	0.008627870463729925	0.008392493421861213	0.026374381976220995	0.03829289667226257
komma	0.18016556058727218	0.14402662308070957	0.14434778297347123	0.1298322791808485	0.040032348796007367	0.03067622611109755	0.1317849576227591	0.1775172519191074	0.12229787878390912
planera	0.040717282933013396	0.014907737230842516	0.044250397703293795	0.008909645233478557	0.02676060423627001	0.00021036542162830574	0.009597091397610433	0.03114344173626077	0.02206207073654972
riskera	0.09888461152254244	0.016263139147353667	0.09941955530507293	0.031076520444894118	0.02670007876456096	0.04319012042322889	0.046635635416504076	0.04679739411199197	0.051120881892018626
slippa	0.1133887298575893	0.051600200771581894	0.014687249498584243	0.004217814587580748	0.007205299374163809	0.0011993896063529075	0.013577627286885718	0.018973593016013757	0.028106237999844047
sluta	0.11531351475557317	0.05209820683207478	0.004807374928261665	0.0010712274791122578	0.015489656101310478	0.004275765397489528	0.002275223220229994	0.016327962539210095	0.026457366406657745
vägra	0.17929809416102527	0.03574848408891096	0.013549448662261154	0.01012098116529625	0.022383482182440795	0.010973691949529796	0.038027996800963026	0.019899462898741782	0.04125020523864613
mean	0.1185693352497444	0.06322378424061662	0.04806793397314493	0.026620388201797355	0.01887718012691226	0.01352390271233054	0.028846694174633567	0.04556597618973522	0.045411899358614345
