variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.10198123948667287	0.08742163046040108	0.06482889907784706	0.008334113317698622	0.010070670912068147	0.013501856502805443	0.026714249454555916	0.030572406388860163	0.04292813320011366
försöka	0.14258849989689415	0.04878703928930894	0.0322769390955423	0.01286974968642951	0.006991629825849333	0.0027738916491208965	0.01105898964223051	0.010445265318093977	0.0334740005504337
glömma	0.10254035635145475	0.07803302279658109	0.04100345164371266	0.02254997316277474	0.0033446241876321503	0.010621743326313493	0.018448040621008577	0.021439270562151003	0.03724756033145356
komma	0.14761547420770596	0.12248158368138623	0.15190223046564272	0.11036504655138618	0.046338063887838676	0.04375272963334864	0.11733966244035565	0.15888023540176455	0.11233437828367858
planera	0.04810029904231865	0.026771993453356034	0.015673330424233176	0.019903204604005756	0.004912369961853319	0.011167606266159508	0.008162768642070134	0.011694809386191933	0.018298297722523563
riskera	0.05950536474372027	0.04572442199261327	0.03671776415301749	0.05245443767552388	0.005211112321578337	0.020584814610179678	0.04508460017075807	0.0462571497569768	0.03894245817804597
slippa	0.09559960279145008	0.029316460480070528	0.014659072873693724	0.0018434209193367579	7.951376853987391e-05	0.002147489274393455	0.005671818022675024	0.011419133956705796	0.020092064010858154
sluta	0.09955020760070055	0.027900994441369953	0.01042503082264068	0.0050474909612931995	0.008064980394823729	0.00956512264918663	0.010241984793962877	0.014853924371297622	0.023206217004409405
vägra	0.10075530225271867	0.07377457195632287	0.015640132348696323	0.00530890864892819	0.003677499694193953	0.011958566557025763	0.010743183634545295	0.023991564876195803	0.030731216246078358
mean	0.09980403848595955	0.06002352428348999	0.04256965010055846	0.026519593947486313	0.009854496106041947	0.0140082022742815	0.028162810824684675	0.036617084446470854	0.039694925058621655
