variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.15766176364104606	0.047035806780271416	0.05428981806263933	0.0055890923862153	0.009954249000770132	0.011885939546319557	0.02653644004532485	0.03077588258488584	0.04296612400593406
försöka	0.011686121555071316	0.007757418573814068	0.007151627886268774	0.0014193446153727418	0.003014948851605692	0.005960963047077827	0.004379946718706007	0.00394004130623582	0.005663801569269031
glömma	0.12030321703815117	0.04013686699376573	0.025975786770950804	0.01711875063051682	0.0001381427724230777	0.013984807019056356	0.022262993959151767	0.025444520788378	0.033170635746549215
komma	0.33083686697684345	0.10418387854322592	0.14462697218197912	0.10692719630694009	0.04382269734186783	0.046829761925553326	0.12119555395032888	0.16322837166116677	0.13270641236098818
planera	0.036369161417850515	0.011012745728957246	0.0068816322777922045	0.01426323647271853	0.0005722038439760213	0.0065464014309597335	0.014059483530522054	0.01780675495876243	0.013438952457692343
riskera	0.110611394909822	0.02626127680576347	0.03309177300332798	0.057403412949853155	0.009184005352588329	0.017981601657650087	0.044497044115996275	0.045668807135161	0.04308741449127029
slippa	0.011584778779705651	0.002022171556454899	0.006712522013206157	0.000987223408016602	0.0021166237201269977	0.0010570058364208768	0.002420800695661307	0.008684236441939164	0.004448170306441457
sluta	0.03121886942666663	0.009607820854635407	0.008053078042552397	0.006138732017261672	0.000394087820043465	0.003321810975457584	0.004556791937304627	0.01004514464961992	0.009167041965442713
vägra	0.05438928362829931	0.03110995013995599	0.010417839447606547	0.012495692038340223	0.010722821525131598	0.00024958855751910924	0.00062241899962312	0.014983341808262773	0.016873867018092334
mean	0.09607349526371735	0.03101421510853824	0.033022338854035924	0.024704742313915017	0.008879975580948128	0.011979764444001607	0.026725719328068765	0.03561967792604575	0.033502491102408855
