variable	variable	#cohort1	#cohort2	#cohort3	#cohort4	#cohort5	#cohort6	#cohort7	#cohort8	mean
fortsätta	0.010204160181691995	0.21662878132010657	0.08959162520730429	0.09065496410948008	0.10625228351855606	0.02250382008137925	0.13063984356464553	0.029090459850996283	0.08694574222927001
försöka	0.15705390883869438	0.07529054698889986	0.06644567862883896	0.03183802911028579	0.0202793476101932	0.010150886680742304	0.04699931686439015	0.0032463318442222657	0.051413005820783356
glömma	0.2254955140790654	0.09054380594879076	0.05141005097254992	0.03671632121456196	0.07151764612838908	0.023234144703038178	0.051153795073043844	0.08989876716728981	0.07999625566084112
komma	0.14975557354474986	0.06365741059517178	0.032772665234264045	0.07423802505141104	0.00040475422115865834	0.0013166295449515849	0.07616700526525201	0.01103700296727653	0.05116863330302944
planera	0.05419981073587398	0.0257911125397631	0.07993535652349543	0.0470534090791579	0.054774518072415644	0.001823641776478973	0.0401315217993667	0.08514945944550896	0.048607353746507584
riskera	0.08061277530840794	0.18744403498778975	0.213668603295202	0.06135347419830246	0.0816843842688059	0.0710682354924375	0.056682746284362005	0.02937611017911028	0.09773629550180221
slippa	0.06267795978994808	0.043621170312658046	0.013220884471986726	0.0071906009596941975	0.0015654751735239656	0.028540662596689616	0.008592297777487979	0.026691722141870964	0.024012596652982447
sluta	0.015708200236581198	0.04850006969639253	0.0441028528549468	0.003548725076144063	0.036949896654327526	0.02329955957923634	0.016198180588590363	0.020648316505466908	0.02611947514896072
vägra	0.4875973039058113	0.09021499046813004	0.2372166966354446	0.1301694781646186	0.048080708414720764	0.08613280993172641	0.1317715106285475	0.18155436637258018	0.17409223306519744
mean	0.13814502295786935	0.09352132476196694	0.09204049042489253	0.05364033632929512	0.046834334895787866	0.029785598931853355	0.06203735753840957	0.0529658373860358	0.07112128790326383
