variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.12955897581922332	0.03841191819285583	0.054722799157853164	0.02428416233554309	0.06174446387636885
försöka	0.00042462720820413136	0.026990932313748717	0.008249849987019386	0.05648284857644814	0.023037064521355094
glömma	0.07047579940710935	0.005677863129210481	0.034069950463647025	0.008264611465472749	0.0296220561163599
komma	0.019952525325148185	0.015697845358466966	0.005742443870315084	0.003276744813873078	0.011167389841950828
planera	0.029583155507604125	0.01790400869254421	0.007863005605846282	0.056832834338337745	0.02804575103608309
riskera	0.053312708212959206	0.058250042954611725	0.009620165417433171	0.09966809638058804	0.05521275324139804
slippa	0.0003183508258466361	0.003652565543230235	0.006895822881800462	0.007885951282510795	0.004688172633347032
sluta	0.021171946649103934	0.009880202391211235	0.011952288535829969	0.06265890893979442	0.02641583662898489
vägra	0.1620598245460082	0.05429342752094779	0.05580522924668707	0.02903299442197671	0.07529786893390494
mean	0.05409532372235634	0.02563986734409191	0.021657950574047957	0.03870968361717164	0.03502570631441696
