variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.3206861104638856	0.1531157704467941	0.10607917255997854	0.28410208988525065	0.21599578583897724
försöka	0.0719809461819996	0.04424178590082255	0.004063359003780409	0.04073105859540809	0.04025428742050266
glömma	0.11838565232677374	0.043473447458742855	0.06526322950265039	0.13533326058314432	0.09061389746782783
komma	0.05357223586843884	0.04214848298476413	0.015418376995820274	0.00879801143909564	0.02998427682202972
planera	0.0012674446985826552	0.01063080288892017	0.022891177533160993	0.027340096137979115	0.015532380314660733
riskera	0.26638918489110475	0.16197256184995418	0.01855525687436867	0.15484239213231574	0.15043984893693582
slippa	0.0008547672664584945	0.009807084547851454	0.018515182610251587	0.021173662745395616	0.012587674292489288
sluta	0.029668537642533858	0.023452139785670588	0.00875901688808127	0.0046154157851733555	0.01662377752536477
vägra	0.3900457762602953	0.1989077963485777	0.1036718339232197	0.31597336104056933	0.2521496918931655
mean	0.1392056284000081	0.07641665246801084	0.0403574006545902	0.11032326092714799	0.0915757356124393
