variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.3836236438896404	0.03703419567318728	0.07324276157057406	0.056959289577544904	0.13771497267773666
försöka	0.2873289329547871	0.20185813447694184	0.03569890318599292	0.11739909815829498	0.16057126719400422
glömma	0.2962070553082549	0.11089901765073018	0.02371475851837872	0.05679144842995317	0.12190306997682925
komma	1.1340276773613978	0.6602265013360591	0.10055291447444456	0.41067040993541515	0.5763693757768291
planera	0.14973506720190938	0.09063282226612902	0.06205729223847485	0.014209477199242593	0.07915866472643895
riskera	0.14352118096234995	0.2174410388028624	0.0023287656018344412	0.18114785397537422	0.13610970983560525
slippa	0.19824615972333456	0.08998652280703708	0.008673862264844397	0.09359950984588238	0.09762651366027461
sluta	0.1528706406435947	0.08230003187832761	0.05959429192741577	0.009594055218773786	0.07608975491702796
vägra	0.30444196391360434	0.01366229257033708	0.008852185034434149	0.096655040862143	0.10590287059512964
mean	0.33888914688431926	0.16711561749573464	0.04163508164626598	0.11522513146695824	0.1657162443733195
