period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Solkattan	1976		42.0	0.0	42.0	0.0	1.0
	Emeli	1954		82.0	0.0	82.0	0.0	1.0
	Smulan1973	1974		11.0	0.0	11.0	0.0	1.0
	Sally	1974		13.0	0.0	13.0	0.0	1.0
	P A K	1973		13.0	0.0	13.0	0.0	1.0
	Ninnie	1980		26.0	0.0	26.0	0.0	1.0
	inga76	1977		11.0	0.0	11.0	0.0	1.0
	Pebble	1982		18.0	0.0	18.0	0.0	1.0
	UmeåElin	1982		37.0	0.0	37.0	0.0	1.0
	JAG är BÄST	1973		69.0	0.0	69.0	0.0	1.0
	Jennie med ie	1976		58.0	0.0	58.0	0.0	1.0
	hymafr	1965		70.0	0.0	70.0	0.0	1.0
	morotsland	1981		28.0	0.0	28.0	0.0	1.0
	orpan	1982		22.0	0.0	22.0	0.0	1.0
	hotten	1975		180.0	0.0	180.0	0.0	1.0
	Lavish	1986		102.0	0.0	102.0	0.0	1.0
	Sashimi	1976		14.0	0.0	14.0	0.0	1.0
	lokisse	1961		239.0	0.0	239.0	0.0	1.0
	ModestyB	1982		45.0	0.0	45.0	0.0	1.0
	Anova	1979		186.0	0.0	186.0	0.0	1.0
	Bette	1967		46.0	0.0	46.0	0.0	1.0
	dicny	1980		30.0	0.0	30.0	0.0	1.0
	Fridapida	1982		49.0	0.0	49.0	0.0	1.0
	Urtica	1981		14.0	0.0	14.0	0.0	1.0
	Lia85	1986		33.0	0.0	33.0	0.0	1.0
	Pumpkin	1985		113.0	0.0	113.0	0.0	1.0
	CeeJay	1973		143.0	0.0	143.0	0.0	1.0
	Winglur	1989		42.0	0.0	42.0	0.0	1.0
	Tant Groda	1983		77.0	0.0	77.0	0.0	1.0
	hally	1986		49.0	0.0	49.0	0.0	1.0
	tantS	1987		11.0	0.0	11.0	0.0	1.0
	MajaMaria79	1980		39.0	0.0	39.0	0.0	1.0
	Lena	1980		137.0	0.0	137.0	0.0	1.0
	stormfågel	1980		22.0	0.0	22.0	0.0	1.0
	Pusselbiten86	1987		18.0	0.0	18.0	0.0	1.0
	Martinis	1984		12.0	0.0	12.0	0.0	1.0
	zuzzan	1984		24.0	0.0	24.0	0.0	1.0
	tessum	1985		49.0	0.0	49.0	0.0	1.0
	Atamon	1972		91.0	0.0	91.0	0.0	1.0
	FL Lisa	1983		46.0	0.0	46.0	0.0	1.0
	soff82	1983		10.0	0.0	10.0	0.0	1.0
	Väntarochlängtar	1971		30.0	0.0	30.0	0.0	1.0
	Bong	1980		25.0	0.0	25.0	0.0	1.0
	Scaniamamma	1987		15.0	0.0	15.0	0.0	1.0
	Fresa78	1979		23.0	0.0	23.0	0.0	1.0
	annawall	1976		18.0	0.0	18.0	0.0	1.0
	Rae	1975		46.0	0.0	46.0	0.0	1.0
	kixan	1982		38.0	0.0	38.0	0.0	1.0
	VirrAnna	1985		24.0	0.0	24.0	0.0	1.0
	pysselmajjo	1983		10.0	0.0	10.0	0.0	1.0
	Hjärtefröjd	1979		19.0	0.0	19.0	0.0	1.0
	Ronjah	1987		14.0	0.0	14.0	0.0	1.0
	rosen76	1977		19.0	0.0	19.0	0.0	1.0
	Solglimtar	1988		16.0	0.0	16.0	0.0	1.0
	rosenkind	1983		13.0	0.0	13.0	0.0	1.0
	modestyclara	1979		102.0	0.0	102.0	0.0	1.0
	Rocktroll	1985		56.0	0.0	56.0	0.0	1.0
	star67	1968		73.0	0.0	73.0	0.0	1.0
	Damien och Adrian	1973		94.0	0.0	94.0	0.0	1.0
	StaffenAssar	1983		67.0	0.0	67.0	0.0	1.0
	solstraalen	1982		78.0	0.0	78.0	0.0	1.0
	Jelin	1983		14.0	0.0	14.0	0.0	1.0
