period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Jennie med ie	1976		23.0	2.0	21.0	0.08695652173913043	0.9130434782608695
	hymafr	1965		11.0	5.0	6.0	0.45454545454545453	0.5454545454545454
	LaFontaine	1985		14.0	2.0	12.0	0.14285714285714285	0.8571428571428571
	Atamon	1972		13.0	3.0	10.0	0.23076923076923078	0.7692307692307693
	Butterscotch	1975		20.0	11.0	9.0	0.55	0.45
	CeeJay	1973		22.0	16.0	6.0	0.7272727272727273	0.2727272727272727
	idiblon	1982		21.0	0.0	21.0	0.0	1.0
	Loris	1988		20.0	7.0	13.0	0.35	0.65
	Joje	1975		29.0	18.0	11.0	0.6206896551724138	0.3793103448275862
	Lavish	1986		17.0	17.0	0.0	1.0	0.0
	Miss Cee	1981		17.0	12.0	5.0	0.7058823529411765	0.29411764705882354
	RiNan	1984		11.0	4.0	7.0	0.36363636363636365	0.6363636363636364
	lokisse	1961		19.0	15.0	4.0	0.7894736842105263	0.21052631578947367
	Floff	1983		10.0	4.0	6.0	0.4	0.6
	Pallas	1974		25.0	0.0	25.0	0.0	1.0
	hejsvej	1983		15.0	4.0	11.0	0.26666666666666666	0.7333333333333333
	hundpuss	1988		10.0	3.0	7.0	0.3	0.7
	Mopsan	1987		13.0	9.0	4.0	0.6923076923076923	0.3076923076923077
	Dorian Ertymexx	1973		42.0	26.0	16.0	0.6190476190476191	0.38095238095238093
	Gojtan	1976		15.0	2.0	13.0	0.13333333333333333	0.8666666666666667
	abuelita	1951		57.0	35.0	22.0	0.6140350877192983	0.38596491228070173
	JAG är BÄST	1973		12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
	allakantralla	1976		11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
	Gladabarnensmamma	1983		19.0	13.0	6.0	0.6842105263157895	0.3157894736842105
	Chaktio	1977		14.0	7.0	7.0	0.5	0.5
	pluvdo	1987		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	mamita64	1965		18.0	7.0	11.0	0.3888888888888889	0.6111111111111112
	TessaS	1974		10.0	1.0	9.0	0.1	0.9
	Amulett	1976		13.0	6.0	7.0	0.46153846153846156	0.5384615384615384
	Beckah82	1983		35.0	22.0	13.0	0.6285714285714286	0.37142857142857144
	Pumpkin	1985		20.0	3.0	17.0	0.15	0.85
	AmandaBrun	1985		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Ett två tre	1986		16.0	8.0	8.0	0.5	0.5
	Emmel	1973		12.0	7.0	5.0	0.5833333333333334	0.4166666666666667
	Ablan	1986		11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
	Tyrell	1973		10.0	3.0	7.0	0.3	0.7
	Stumpan84	1985		13.0	0.0	13.0	0.0	1.0
	Erika Ö	1989		10.0	1.0	9.0	0.1	0.9
	Impertiff	1974		21.0	8.0	13.0	0.38095238095238093	0.6190476190476191
	josse83	1984		15.0	7.0	8.0	0.4666666666666667	0.5333333333333333
	Heureka	1975		17.0	10.0	7.0	0.5882352941176471	0.4117647058823529
	Marlene	1967		50.0	42.0	8.0	0.84	0.16
	mandelblomma	1990		14.0	0.0	14.0	0.0	1.0
	Superhero	1983		10.0	0.0	10.0	0.0	1.0
	Livshlädje	1974		12.0	0.0	12.0	0.0	1.0
	modestyclara	1979		13.0	7.0	6.0	0.5384615384615384	0.46153846153846156
	Enigmia	1977		10.0	1.0	9.0	0.1	0.9
	guldplutt	1971		19.0	16.0	3.0	0.8421052631578947	0.15789473684210525
	Bullan1978	1979		14.0	4.0	10.0	0.2857142857142857	0.7142857142857143
	LHUF	1980		17.0	2.0	15.0	0.11764705882352941	0.8823529411764706
	Mamma till viljestark dotter	1976		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
	lisadragon	1985		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	TinaLi	1984		10.0	0.0	10.0	0.0	1.0
	kicki08	1978		12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
	inga76	1977		10.0	7.0	3.0	0.7	0.3
	Helena D	1975		11.0	9.0	2.0	0.8181818181818182	0.18181818181818182
	IsaN	1974		12.0	4.0	8.0	0.3333333333333333	0.6666666666666666
	MissMy	1985		14.0	12.0	2.0	0.8571428571428571	0.14285714285714285
	mariaheterjag	1982		13.0	11.0	2.0	0.8461538461538461	0.15384615384615385
	babyboom86	1987		11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
	saltflingan	1990		57.0	25.0	32.0	0.43859649122807015	0.5614035087719298
	MrsCharlotte	1981		10.0	3.0	7.0	0.3	0.7
	Stella 78	1979		19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
	fru smurf	1979		16.0	9.0	7.0	0.5625	0.4375
	NadiaMi	1975		82.0	18.0	64.0	0.21951219512195122	0.7804878048780488
	mammiz83	1984		24.0	0.0	24.0	0.0	1.0
	Nickis	1974		11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
	BrödernaBus	1980		18.0	1.0	17.0	0.05555555555555555	0.9444444444444444
	Linha	1972		12.0	6.0	6.0	0.5	0.5
	korvmedbröd	1988		10.0	6.0	4.0	0.6	0.4
	annsofia	1989		10.0	10.0	0.0	1.0	0.0
	Myra	1973		13.0	7.0	6.0	0.5384615384615384	0.46153846153846156
	Lilli77	1978		12.0	3.0	9.0	0.25	0.75
	Semlan10	1973		12.0	7.0	5.0	0.5833333333333334	0.4166666666666667
