period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	JAG är BÄST	1973		72.0	4.0	68.0	0.05555555555555555	0.9444444444444444
	Gothica	1975		14.0	0.0	14.0	0.0	1.0
	Ninnie	1980		17.0	4.0	13.0	0.23529411764705882	0.7647058823529411
	Emeli	1954		42.0	0.0	42.0	0.0	1.0
	Jennie med ie	1976		99.0	2.0	97.0	0.020202020202020204	0.9797979797979798
	Mara	1974		10.0	0.0	10.0	0.0	1.0
	Tjillevippen	1981		19.0	1.0	18.0	0.05263157894736842	0.9473684210526315
	Sally	1974		24.0	0.0	24.0	0.0	1.0
	Hundtok	1984		22.0	0.0	22.0	0.0	1.0
	Camarogirl	1971		11.0	0.0	11.0	0.0	1.0
	Rude Billy	1987		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
	Smetanina	1977		39.0	0.0	39.0	0.0	1.0
	hymafr	1965		41.0	2.0	39.0	0.04878048780487805	0.9512195121951219
	Linaek	1964		19.0	1.0	18.0	0.05263157894736842	0.9473684210526315
	yodi	1980		39.0	2.0	37.0	0.05128205128205128	0.9487179487179487
	Kajsala	1961		25.0	0.0	25.0	0.0	1.0
	Anatha	1979		34.0	2.0	32.0	0.058823529411764705	0.9411764705882353
	PetraMunchen	1972		58.0	2.0	56.0	0.034482758620689655	0.9655172413793104
	FridaochSamuel	1991		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	madde1983	1984		11.0	0.0	11.0	0.0	1.0
	Lönnsirap	1981		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	TheFamily	1980		22.0	0.0	22.0	0.0	1.0
	Kary	1982		13.0	0.0	13.0	0.0	1.0
	Butterscotch	1975		88.0	1.0	87.0	0.011363636363636364	0.9886363636363636
	Zephir	1986		25.0	0.0	25.0	0.0	1.0
	Baronessan	1975		29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
	Anova	1979		72.0	4.0	68.0	0.05555555555555555	0.9444444444444444
	gosmamman	1983		39.0	1.0	38.0	0.02564102564102564	0.9743589743589743
	LaFontaine	1985		61.0	0.0	61.0	0.0	1.0
