period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	HoppetKärleken	1975	3	7.0	0.0	7.0	0.0	1.0	5
	Sally	1974	3	2.0	0.0	2.0	0.0	1.0	5
	inga76	1977	3	4.0	0.0	4.0	0.0	1.0	5
	JAG är BÄST	1973	3	22.0	1.0	21.0	0.045454545454545456	0.9545454545454546	5
	Vildrosen	1971	2	1.0	0.0	1.0	0.0	1.0	4
	Emeli	1954	1	4.0	1.0	3.0	0.25	0.75	2
	Helle68	1969	2	2.0	1.0	1.0	0.5	0.5	4
	jådåsåatt	1984	4	2.0	0.0	2.0	0.0	1.0	7
	hymafr	1965	2	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571	3
	solstraalen	1982	3	4.0	0.0	4.0	0.0	1.0	6
	maamje	1980	3	8.0	1.0	7.0	0.125	0.875	6
	zuzzan	1984	4	8.0	0.0	8.0	0.0	1.0	7
	rosenkind	1983	4	1.0	1.0	0.0	1.0	0.0	7
	emmianttila	1990	4	4.0	0.0	4.0	0.0	1.0	8
	LaFontaine	1985	4	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	7
	Tokfrjant	1989	4	9.0	3.0	6.0	0.3333333333333333	0.6666666666666666	8
	Betty Boop	1974	3	2.0	1.0	1.0	0.5	0.5	5
	iAnnaMaria	1988	4	1.0	0.0	1.0	0.0	1.0	8
	2barnsmorsa	1982	3	4.0	0.0	4.0	0.0	1.0	6
	lillalorten06	1984	4	1.0	0.0	1.0	0.0	1.0	7
	lokisse	1961	1	8.0	7.0	1.0	0.875	0.125	3
	Hjärtefröjd	1979	3	4.0	0.0	4.0	0.0	1.0	6
	Farth Vader	1974	3	2.0	0.0	2.0	0.0	1.0	5
	mal	1983	4	1.0	0.0	1.0	0.0	1.0	7
	hundpuss	1988	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	8
	Butterscotch	1975	3	10.0	0.0	10.0	0.0	1.0	5
	carola 79	1980	3	1.0	0.0	1.0	0.0	1.0	6
	Rastafairy	1987	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	7
	kattengustav	1982	3	2.0	0.0	2.0	0.0	1.0	6
	pysselmajjo	1983	4	4.0	1.0	3.0	0.25	0.75	7
	emmisss	1985	4	3.0	0.0	3.0	0.0	1.0	7
	Scaniamamma	1987	4	2.0	0.0	2.0	0.0	1.0	7
	Torparn	1975	3	2.0	0.0	2.0	0.0	1.0	5
	smillis06	1983	4	1.0	0.0	1.0	0.0	1.0	7
	vallakra	1972	2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	4
	Lajkie	1987	4	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231	7
	allakantralla	1976	3	12.0	0.0	12.0	0.0	1.0	5
	Dynamic	1980	3	2.0	0.0	2.0	0.0	1.0	6
	Lönnsirap	1981	3	2.0	1.0	1.0	0.5	0.5	6
	musli	1972	2	10.0	0.0	10.0	0.0	1.0	4
	pumpkinpie	1984	4	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	7
	Väntarochlängtar	1971	2	1.0	1.0	0.0	1.0	0.0	4
	AAEV	1987	4	16.0	0.0	16.0	0.0	1.0	7
	Pyris	1978	3	6.0	0.0	6.0	0.0	1.0	6
	Atamon	1972	2	2.0	0.0	2.0	0.0	1.0	4
	Bumblebina	1978	3	2.0	1.0	1.0	0.5	0.5	6
	MalinI	1979	3	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571	6
	Isola80	1981	3	2.0	0.0	2.0	0.0	1.0	6
	Juppepuppe	1980	3	2.0	0.0	2.0	0.0	1.0	6
	bitte67	1968	2	4.0	0.0	4.0	0.0	1.0	4
	fruganL	1990	4	5.0	0.0	5.0	0.0	1.0	8
	Gravid 89	1990	4	24.0	0.0	24.0	0.0	1.0	8
	Elektra82	1983	4	3.0	0.0	3.0	0.0	1.0	7
	Equal	1979	3	2.0	0.0	2.0	0.0	1.0	6
	Dompans mamma	1983	4	2.0	0.0	2.0	0.0	1.0	7
	SandraD	1987	4	2.0	0.0	2.0	0.0	1.0	7
	Annamaja	1981	3	7.0	0.0	7.0	0.0	1.0	6
	Erika Ö	1989	4	4.0	0.0	4.0	0.0	1.0	8
	TessaS	1974	3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	5
	Lakrids	1977	3	6.0	0.0	6.0	0.0	1.0	5
	Södermalmsbönan	1982	3	3.0	0.0	3.0	0.0	1.0	6
	Jencie	1988	4	1.0	0.0	1.0	0.0	1.0	8
	Tweety78	1979	3	2.0	1.0	1.0	0.5	0.5	6
	En glad tjej	1979	3	4.0	0.0	4.0	0.0	1.0	6
	Anova	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Miss Cee	1981	3	11.0	8.0	3.0	0.7272727272727273	0.2727272727272727	6
