period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Emeli	1954		290.0	284.0	6.0	0.9793103448275862	0.020689655172413793
	Sally	1974		39.0	33.0	6.0	0.8461538461538461	0.15384615384615385
	Solkattan	1976		187.0	11.0	176.0	0.058823529411764705	0.9411764705882353
	inga76	1977		41.0	37.0	4.0	0.9024390243902439	0.0975609756097561
	Mara	1974		48.0	37.0	11.0	0.7708333333333334	0.22916666666666666
	kvinna79	1980		41.0	10.0	31.0	0.24390243902439024	0.7560975609756098
	Camarogirl	1971		84.0	11.0	73.0	0.13095238095238096	0.8690476190476191
	Gothica	1975		16.0	9.0	7.0	0.5625	0.4375
	Smulan1973	1974		30.0	24.0	6.0	0.8	0.2
	Ninnie	1980		49.0	14.0	35.0	0.2857142857142857	0.7142857142857143
	Jola	1977		37.0	22.0	15.0	0.5945945945945946	0.40540540540540543
	UmeåElin	1982		19.0	1.0	18.0	0.05263157894736842	0.9473684210526315
	Linnis	1987		15.0	3.0	12.0	0.2	0.8
	Jennie med ie	1976		119.0	113.0	6.0	0.9495798319327731	0.05042016806722689
	Helle68	1969		33.0	33.0	0.0	1.0	0.0
	Carla82	1983		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	wilma123	1975		4.0	4.0	0.0	1.0	0.0
	Seven Costanza	1984		58.0	18.0	40.0	0.3103448275862069	0.6896551724137931
	Tjillevippen	1981		106.0	103.0	3.0	0.9716981132075472	0.02830188679245283
	werner	1976		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	Vildrosen	1971		10.0	5.0	5.0	0.5	0.5
	Linha	1972		45.0	3.0	42.0	0.06666666666666667	0.9333333333333333
	gottelina	1974		6.0	6.0	0.0	1.0	0.0
	augustibruden	1972		34.0	2.0	32.0	0.058823529411764705	0.9411764705882353
	Ninnii	1986		4.0	1.0	3.0	0.25	0.75
	Mirren	1978		81.0	63.0	18.0	0.7777777777777778	0.2222222222222222
	JAG är BÄST	1973		307.0	244.0	63.0	0.7947882736156352	0.20521172638436483
	moans	1972		18.0	17.0	1.0	0.9444444444444444	0.05555555555555555
	annajo	1978		6.0	3.0	3.0	0.5	0.5
	Diwa	1974		34.0	0.0	34.0	0.0	1.0
	Kajsala	1961		23.0	20.0	3.0	0.8695652173913043	0.13043478260869565
