period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Smulan1973	1974	3	1.0	1.0	0.0	1.0	0.0	5
	augustibruden	1972	2	3.0	3.0	0.0	1.0	0.0	4
	Paprikan	1980	3	2.0	1.0	1.0	0.5	0.5	6
	Camarogirl	1971	2	1.0	1.0	0.0	1.0	0.0	4
	Ninnie	1980	3	1.0	1.0	0.0	1.0	0.0	6
	Sashimi	1976	3	2.0	1.0	1.0	0.5	0.5	5
	737 dagar	1986	4	1.0	1.0	0.0	1.0	0.0	7
	ProosAnna	1984	4	2.0	2.0	0.0	1.0	0.0	7
	Annica1	1987	4	1.0	1.0	0.0	1.0	0.0	7
	Sadie	1984	4	2.0	2.0	0.0	1.0	0.0	7
	star67	1968	2	1.0	1.0	0.0	1.0	0.0	4
	CeeJay	1973	3	3.0	3.0	0.0	1.0	0.0	5
	TigerLinn	1986	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	7
	Astarte	1980	3	2.0	2.0	0.0	1.0	0.0	6
	Dynamic	1980	3	2.0	2.0	0.0	1.0	0.0	6
	Beckah82	1983	4	7.0	7.0	0.0	1.0	0.0	7
	beEMbe	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Åja81	1982	3	1.0	1.0	0.0	1.0	0.0	6
	riboflavin	1985	4	2.0	2.0	0.0	1.0	0.0	7
	Sedek	1977	3	4.0	4.0	0.0	1.0	0.0	5
	Ewelins	1983	4	1.0	1.0	0.0	1.0	0.0	7
	barnsjuk	1975	3	1.0	1.0	0.0	1.0	0.0	5
	Snoffsan	1980	3	5.0	5.0	0.0	1.0	0.0	6
	mariahammarberg	1981	3	1.0	1.0	0.0	1.0	0.0	6
	Pumpkin	1985	4	1.0	1.0	0.0	1.0	0.0	7
	lilla mej	1978	3	2.0	2.0	0.0	1.0	0.0	6
	antitanten	1955	1	1.0	1.0	0.0	1.0	0.0	2
	hundpuss	1988	4	1.0	1.0	0.0	1.0	0.0	8
	Dompans mamma	1983	4	1.0	1.0	0.0	1.0	0.0	7
	Nöjd	1975	3	2.0	2.0	0.0	1.0	0.0	5
	SingForLife	1973	3	1.0	1.0	0.0	1.0	0.0	5
	Tirnanog	1985	4	1.0	1.0	0.0	1.0	0.0	7
	darkwell82	1983	4	1.0	1.0	0.0	1.0	0.0	7
	Hallonmumsan	1987	4	1.0	1.0	0.0	1.0	0.0	7
	exiteme	1972	2	2.0	1.0	1.0	0.5	0.5	4
	LeaveMeAlone	1984	4	1.0	1.0	0.0	1.0	0.0	7
	LaFontaine	1985	4	2.0	2.0	0.0	1.0	0.0	7
	Gravid 89	1990	4	1.0	1.0	0.0	1.0	0.0	8
	Saniis	1984	4	1.0	1.0	0.0	1.0	0.0	7
	glader	1975	3	4.0	4.0	0.0	1.0	0.0	5
	car	1975	3	1.0	1.0	0.0	1.0	0.0	5
	Neith	1985	4	1.0	1.0	0.0	1.0	0.0	7
	Dorian Ertymexx	1973	3	13.0	13.0	0.0	1.0	0.0	5
	crazy hannah	1987	4	2.0	2.0	0.0	1.0	0.0	7
	NicoleSthlm	1984	4	3.0	3.0	0.0	1.0	0.0	7
	EXPOSED	1971	2	1.0	1.0	0.0	1.0	0.0	4
	Helena D	1975	3	4.0	4.0	0.0	1.0	0.0	5
	Horst	1976	3	1.0	1.0	0.0	1.0	0.0	5
	Miss Cee	1981	3	4.0	4.0	0.0	1.0	0.0	6
	Killarnas morsa	1972	2	1.0	1.0	0.0	1.0	0.0	4
	40 plus	1978	3	1.0	1.0	0.0	1.0	0.0	6
	Sparvöga	1980	3	1.0	1.0	0.0	1.0	0.0	6
	AAEV	1987	4	5.0	5.0	0.0	1.0	0.0	7
	Zezana	1980	3	1.0	1.0	0.0	1.0	0.0	6
	AW76	1977	3	1.0	1.0	0.0	1.0	0.0	5
	Flisan79	1980	3	1.0	1.0	0.0	1.0	0.0	6
	Mama Me	1977	3	1.0	1.0	0.0	1.0	0.0	5
	Tyrell	1973	3	3.0	3.0	0.0	1.0	0.0	5
	TigerLily	1974	3	1.0	1.0	0.0	1.0	0.0	5
	aprilfamilj	1987	4	1.0	1.0	0.0	1.0	0.0	7
	Ablan	1986	4	1.0	1.0	0.0	1.0	0.0	7
	gmt	1987	4	3.0	3.0	0.0	1.0	0.0	7
	greatdaysfan	1976	3	2.0	2.0	0.0	1.0	0.0	5
	modestyclara	1979	3	6.0	4.0	2.0	0.6666666666666666	0.3333333333333333	6
	gosmamman	1983	4	2.0	2.0	0.0	1.0	0.0	7
	sammetrocker	1984	4	1.0	1.0	0.0	1.0	0.0	7
	Barkbam	1957	1	1.0	1.0	0.0	1.0	0.0	2
	Emmel	1973	3	2.0	2.0	0.0	1.0	0.0	5
	FreeForAll	1984	4	3.0	3.0	0.0	1.0	0.0	7
	Dilong	1963	2	2.0	2.0	0.0	1.0	0.0	3
	Pallas	1974	3	5.0	4.0	1.0	0.8	0.2	5
	Lyckobebisen	1986	4	1.0	1.0	0.0	1.0	0.0	7
	Caroline08	1989	4	1.0	1.0	0.0	1.0	0.0	8
	TheStar	1977	3	1.0	1.0	0.0	1.0	0.0	5
	MollyMax	1977	3	1.0	1.0	0.0	1.0	0.0	5
	hurskadetgå	1978	3	1.0	0.0	1.0	0.0	1.0	6
	NorrVimpel	1973	3	1.0	1.0	0.0	1.0	0.0	5
	Anova	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Medveten	1977	3	2.0	2.0	0.0	1.0	0.0	5
	castillo	1988	4	2.0	1.0	1.0	0.5	0.5	8
	Zophia	1980	3	1.0	1.0	0.0	1.0	0.0	6
	Papi Jo	1977	3	1.0	0.0	1.0	0.0	1.0	5
	Maja Gräddnos	1979	3	1.0	1.0	0.0	1.0	0.0	6
	annelie80	1981	3	1.0	1.0	0.0	1.0	0.0	6
	Tittij	1978	3	1.0	0.0	1.0	0.0	1.0	6
	Knasiga morsan	1985	4	1.0	1.0	0.0	1.0	0.0	7
	Llimen	1987	4	1.0	1.0	0.0	1.0	0.0	7
	karinagumman	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Norpan81	1982	3	1.0	1.0	0.0	1.0	0.0	6
	annmin	1961	1	1.0	1.0	0.0	1.0	0.0	3
	Martinis	1984	4	1.0	1.0	0.0	1.0	0.0	7
	fröken sol	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Lavish	1986	4	4.0	4.0	0.0	1.0	0.0	7
	maamje	1980	3	1.0	1.0	0.0	1.0	0.0	6
	allakantralla	1976	3	2.0	1.0	1.0	0.5	0.5	5
	Jennie med ie	1976	3	2.0	2.0	0.0	1.0	0.0	5
	stoltmamma87	1988	4	4.0	4.0	0.0	1.0	0.0	8
	Mulllis	1986	4	1.0	1.0	0.0	1.0	0.0	7
	Tilcha	1985	4	2.0	2.0	0.0	1.0	0.0	7
	TessaS	1974	3	1.0	1.0	0.0	1.0	0.0	5
	lokisse	1961	1	4.0	4.0	0.0	1.0	0.0	3
	mirre67	1968	2	1.0	1.0	0.0	1.0	0.0	4
	copycat	1987	4	1.0	1.0	0.0	1.0	0.0	7
	Tant Groda	1983	4	3.0	3.0	0.0	1.0	0.0	7
	Min högsta önskan	1979	3	2.0	2.0	0.0	1.0	0.0	6
	En skrutt	1981	3	1.0	1.0	0.0	1.0	0.0	6
	malinsoderman	1981	3	1.0	0.0	1.0	0.0	1.0	6
	BasseKatt	1975	3	1.0	1.0	0.0	1.0	0.0	5
	Bajjelen	1985	4	5.0	4.0	1.0	0.8	0.2	7
	Lovisa87	1988	4	1.0	1.0	0.0	1.0	0.0	8
	MammaU	1973	3	2.0	2.0	0.0	1.0	0.0	5
	Eldsjäl	1988	4	1.0	1.0	0.0	1.0	0.0	8
	elinville	1981	3	3.0	0.0	3.0	0.0	1.0	6
	Malena C	1969	2	1.0	1.0	0.0	1.0	0.0	4
	Daimis	1977	3	2.0	1.0	1.0	0.5	0.5	5
	Maskot	1971	2	1.0	1.0	0.0	1.0	0.0	4
	hymafr	1965	2	2.0	2.0	0.0	1.0	0.0	3
	hotten	1975	3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	5
	Pinja	1975	3	1.0	0.0	1.0	0.0	1.0	5
	Kakan85	1986	4	1.0	1.0	0.0	1.0	0.0	7
	Malo	1982	3	1.0	1.0	0.0	1.0	0.0	6
	sazzia	1987	4	1.0	1.0	0.0	1.0	0.0	7
	lisadragon	1985	4	4.0	4.0	0.0	1.0	0.0	7
	Gladhannapanna	1972	2	7.0	7.0	0.0	1.0	0.0	4
	Lill Mamsen	1985	4	1.0	1.0	0.0	1.0	0.0	7
	KickanAnnika	1975	3	2.0	2.0	0.0	1.0	0.0	5
	Röllekan	1978	3	1.0	1.0	0.0	1.0	0.0	6
	UmeåElin	1982	3	1.0	0.0	1.0	0.0	1.0	6
	Lallamen	1971	2	1.0	0.0	1.0	0.0	1.0	4
	mariamitsu	1978	3	1.0	0.0	1.0	0.0	1.0	6
	Tingeling76	1977	3	2.0	2.0	0.0	1.0	0.0	5
