period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Emeli	1954		13.0	0.0	13.0	0.0	1.0
	Solkattan	1976		10.0	0.0	10.0	0.0	1.0
	JAG är BÄST	1973		35.0	1.0	34.0	0.02857142857142857	0.9714285714285714
	hymafr	1965		21.0	0.0	21.0	0.0	1.0
	Anatha	1979		18.0	0.0	18.0	0.0	1.0
	Jennie med ie	1976		24.0	0.0	24.0	0.0	1.0
	musli	1972		22.0	0.0	22.0	0.0	1.0
	StaffenAssar	1983		28.0	0.0	28.0	0.0	1.0
	TheCoopers	1976		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Lindadjo	1978		11.0	0.0	11.0	0.0	1.0
	Pochahontas	1974		11.0	0.0	11.0	0.0	1.0
	FL Lisa	1983		14.0	0.0	14.0	0.0	1.0
	Butterscotch	1975		33.0	1.0	32.0	0.030303030303030304	0.9696969696969697
	Lavish	1986		28.0	0.0	28.0	0.0	1.0
	Anova	1979		22.0	0.0	22.0	0.0	1.0
	Pumpkin	1985		21.0	0.0	21.0	0.0	1.0
	vill bli mamma 2009	1976		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Geshia	1981		29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
	CeeJay	1973		37.0	1.0	36.0	0.02702702702702703	0.972972972972973
	Pallas	1974		48.0	0.0	48.0	0.0	1.0
	hundpuss	1988		18.0	0.0	18.0	0.0	1.0
	Hedi	1966		32.0	2.0	30.0	0.0625	0.9375
	pluvdo	1987		18.0	0.0	18.0	0.0	1.0
	Atamon	1972		18.0	0.0	18.0	0.0	1.0
	MrsCharlotte	1981		20.0	0.0	20.0	0.0	1.0
	idiblon	1982		17.0	0.0	17.0	0.0	1.0
	Beckah82	1983		53.0	0.0	53.0	0.0	1.0
	Emmel	1973		31.0	0.0	31.0	0.0	1.0
	modestyclara	1979		25.0	0.0	25.0	0.0	1.0
	Gladhannapanna	1972		17.0	0.0	17.0	0.0	1.0
	LuMa	1979		13.0	0.0	13.0	0.0	1.0
	Thessis77	1978		24.0	0.0	24.0	0.0	1.0
	fabler	1964		17.0	0.0	17.0	0.0	1.0
	Dorian Ertymexx	1973		51.0	0.0	51.0	0.0	1.0
	så mycket bättre	1987		10.0	0.0	10.0	0.0	1.0
	fruganL	1990		37.0	0.0	37.0	0.0	1.0
	LaFontaine	1985		10.0	0.0	10.0	0.0	1.0
	Fiamedbarn	1971		24.0	0.0	24.0	0.0	1.0
	LHUF	1980		37.0	0.0	37.0	0.0	1.0
	car	1975		17.0	0.0	17.0	0.0	1.0
	Miss Cee	1981		35.0	0.0	35.0	0.0	1.0
	TigerLinn	1986		12.0	0.0	12.0	0.0	1.0
	Sadie	1984		12.0	0.0	12.0	0.0	1.0
	SaraSara	1976		16.0	0.0	16.0	0.0	1.0
	BasseKatt	1975		19.0	0.0	19.0	0.0	1.0
	Calles matte	1979		19.0	0.0	19.0	0.0	1.0
	MalinI	1979		18.0	0.0	18.0	0.0	1.0
	chivasregal	1962		12.0	0.0	12.0	0.0	1.0
	hejsvej	1983		15.0	0.0	15.0	0.0	1.0
	faster	1964		11.0	0.0	11.0	0.0	1.0
	RiNan	1984		19.0	0.0	19.0	0.0	1.0
	lokisse	1961		18.0	1.0	17.0	0.05555555555555555	0.9444444444444444
	hally	1986		11.0	0.0	11.0	0.0	1.0
	Daimis	1977		13.0	0.0	13.0	0.0	1.0
	Empo	1985		12.0	0.0	12.0	0.0	1.0
	mamita64	1965		26.0	0.0	26.0	0.0	1.0
	skorpiona	1981		13.0	0.0	13.0	0.0	1.0
	Skruttis1979	1979		11.0	0.0	11.0	0.0	1.0
	finskaflikkan	1984		10.0	1.0	9.0	0.1	0.9
	BrödernaBus	1980		24.0	0.0	24.0	0.0	1.0
	SuzR	1982		12.0	0.0	12.0	0.0	1.0
	delifi2	1975		16.0	0.0	16.0	0.0	1.0
	Rastafairy	1987		22.0	0.0	22.0	0.0	1.0
	Winglur	1989		16.0	0.0	16.0	0.0	1.0
	abuelita	1951		44.0	0.0	44.0	0.0	1.0
	Lillatroll	1974		12.0	0.0	12.0	0.0	1.0
	Gladabarnensmamma	1983		20.0	0.0	20.0	0.0	1.0
	carrobarro84	1985		10.0	1.0	9.0	0.1	0.9
	Rimfolina	1980		13.0	0.0	13.0	0.0	1.0
	Jungblom	1986		21.0	0.0	21.0	0.0	1.0
	Maddisen80	1981		21.0	0.0	21.0	0.0	1.0
	bambigirl	1982		21.0	0.0	21.0	0.0	1.0
	Grönögat	1989		12.0	0.0	12.0	0.0	1.0
	lingonben	1952		10.0	0.0	10.0	0.0	1.0
	musiknallen	1977		20.0	0.0	20.0	0.0	1.0
	TuvaLi	1978		18.0	0.0	18.0	0.0	1.0
	Tussa76	1977		10.0	0.0	10.0	0.0	1.0
	AW76	1977		23.0	0.0	23.0	0.0	1.0
	IsaCMoJs	1983		10.0	0.0	10.0	0.0	1.0
	mariahammarberg	1981		10.0	0.0	10.0	0.0	1.0
	Bohman	1986		11.0	0.0	11.0	0.0	1.0
	WhiteAngels	1980		11.0	0.0	11.0	0.0	1.0
	jesslin	1973		17.0	0.0	17.0	0.0	1.0
	Tilcha	1985		18.0	0.0	18.0	0.0	1.0
	Lilaa	1982		10.0	0.0	10.0	0.0	1.0
	JennyL29	1980		27.0	0.0	27.0	0.0	1.0
	Ablan	1986		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	Madame Mom	1974		11.0	0.0	11.0	0.0	1.0
	TessaS	1974		19.0	0.0	19.0	0.0	1.0
	Mopsan	1987		20.0	1.0	19.0	0.05	0.95
	mithrandil	1983		16.0	0.0	16.0	0.0	1.0
	korfu08	1976		16.0	0.0	16.0	0.0	1.0
	MariaJuj	1983		11.0	0.0	11.0	0.0	1.0
	livet leker	1990		13.0	0.0	13.0	0.0	1.0
	Floff	1983		16.0	0.0	16.0	0.0	1.0
	Ullegulle78	1979		12.0	0.0	12.0	0.0	1.0
	Lilla JJ	1978		37.0	1.0	36.0	0.02702702702702703	0.972972972972973
	WilleViking	1977		18.0	0.0	18.0	0.0	1.0
	Tida77	1978		10.0	0.0	10.0	0.0	1.0
	SofiaL	1990		12.0	0.0	12.0	0.0	1.0
	Alisa	1981		14.0	0.0	14.0	0.0	1.0
	Cat79	1980		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	Harling1985	1986		11.0	0.0	11.0	0.0	1.0
	pojkens	1975		19.0	0.0	19.0	0.0	1.0
	saltflingan	1990		22.0	0.0	22.0	0.0	1.0
	mandelblomma	1990		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
	Ett två tre	1986		22.0	0.0	22.0	0.0	1.0
	passau	1977		18.0	0.0	18.0	0.0	1.0
	Livsglädjen	1973		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	angeni	1988		11.0	0.0	11.0	0.0	1.0
	Joje	1975		32.0	0.0	32.0	0.0	1.0
	Lilla Morran	1984		13.0	0.0	13.0	0.0	1.0
	allakantralla	1976		36.0	0.0	36.0	0.0	1.0
	guldplutt	1971		20.0	0.0	20.0	0.0	1.0
	MissUnderstood80	1981		13.0	0.0	13.0	0.0	1.0
	Trinis	1976		12.0	0.0	12.0	0.0	1.0
	astro	1978		18.0	0.0	18.0	0.0	1.0
	Mylla	1980		10.0	0.0	10.0	0.0	1.0
	Smuliz	1982		25.0	0.0	25.0	0.0	1.0
	Acelise	1984		18.0	0.0	18.0	0.0	1.0
	anyXX	1983		10.0	0.0	10.0	0.0	1.0
	Trillian80	1986		15.0	0.0	15.0	0.0	1.0
	honeybunches	1982		12.0	0.0	12.0	0.0	1.0
	mariaheterjag	1982		19.0	0.0	19.0	0.0	1.0
	solstraalen	1982		24.0	0.0	24.0	0.0	1.0
	underverket 06	1971		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
	Jimps	1981		13.0	0.0	13.0	0.0	1.0
