period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Sally	1974	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	5
	Solkattan	1976	3	5.0	5.0	0.0	1.0	0.0	5
	Makkinje	1987	4	4.0	4.0	0.0	1.0	0.0	7
	Camarogirl	1971	2	1.0	0.0	1.0	0.0	1.0	4
	hymafr	1965	2	6.0	5.0	1.0	0.8333333333333334	0.16666666666666666	3
	Pumpkin	1985	4	11.0	11.0	0.0	1.0	0.0	7
	Pirjo79	1980	3	1.0	1.0	0.0	1.0	0.0	6
	lena1	1960	1	2.0	2.0	0.0	1.0	0.0	3
	dicny	1980	3	2.0	2.0	0.0	1.0	0.0	6
	stormfågel	1980	3	2.0	2.0	0.0	1.0	0.0	6
	honeybee78	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Lorelei	1978	3	2.0	2.0	0.0	1.0	0.0	6
	VilkenLycka	1975	3	1.0	1.0	0.0	1.0	0.0	5
	lillasmilla	1988	4	2.0	2.0	0.0	1.0	0.0	8
	2 små prinsessor	1987	4	1.0	1.0	0.0	1.0	0.0	7
	luspudel	1989	4	3.0	3.0	0.0	1.0	0.0	8
	Ninnie	1980	3	1.0	1.0	0.0	1.0	0.0	6
	AndyP	1980	3	1.0	1.0	0.0	1.0	0.0	6
	Jaja88	1989	4	2.0	2.0	0.0	1.0	0.0	8
	Lavish	1986	4	14.0	14.0	0.0	1.0	0.0	7
	Heureka	1975	3	5.0	5.0	0.0	1.0	0.0	5
	tempo21	1974	3	1.0	1.0	0.0	1.0	0.0	5
	Alfonsina	1978	3	5.0	4.0	1.0	0.8	0.2	6
	Urpan	1981	3	1.0	1.0	0.0	1.0	0.0	6
	brokig	1984	4	2.0	2.0	0.0	1.0	0.0	7
	målvakten	1984	4	1.0	1.0	0.0	1.0	0.0	7
	Sadie	1984	4	3.0	3.0	0.0	1.0	0.0	7
	annmin	1961	1	2.0	2.0	0.0	1.0	0.0	3
	Butterscotch	1975	3	11.0	8.0	3.0	0.7272727272727273	0.2727272727272727	5
	sara1981	1982	3	2.0	2.0	0.0	1.0	0.0	6
	Miss Cee	1981	3	12.0	12.0	0.0	1.0	0.0	6
	Aprilbarn1	1989	4	1.0	1.0	0.0	1.0	0.0	8
	CeeJay	1973	3	11.0	11.0	0.0	1.0	0.0	5
	FridaBjoerk	1992	4	1.0	1.0	0.0	1.0	0.0	8
	MissB	1983	4	2.0	2.0	0.0	1.0	0.0	7
	EnAnka	1991	4	1.0	1.0	0.0	1.0	0.0	8
	honeybun	1984	4	1.0	1.0	0.0	1.0	0.0	7
	pumpkinpie	1984	4	1.0	1.0	0.0	1.0	0.0	7
	giftgrodan	1980	3	3.0	3.0	0.0	1.0	0.0	6
	mazquE	1990	4	5.0	5.0	0.0	1.0	0.0	8
	Lakrids	1977	3	2.0	2.0	0.0	1.0	0.0	5
	Mania x2	1978	3	4.0	4.0	0.0	1.0	0.0	6
	Tilcha	1985	4	4.0	4.0	0.0	1.0	0.0	7
	freija	1985	4	2.0	2.0	0.0	1.0	0.0	7
	hannis	1979	3	9.0	9.0	0.0	1.0	0.0	6
	Jamieolivia	1983	4	5.0	5.0	0.0	1.0	0.0	7
	Sedek	1977	3	3.0	3.0	0.0	1.0	0.0	5
	Winglur	1989	4	2.0	2.0	0.0	1.0	0.0	8
	Scaniamamma	1987	4	2.0	1.0	1.0	0.5	0.5	7
	mandelblomma	1990	4	4.0	4.0	0.0	1.0	0.0	8
	Skysome	1981	3	1.0	1.0	0.0	1.0	0.0	6
	Sigrid	1975	3	2.0	2.0	0.0	1.0	0.0	5
	Thezz88	1989	4	1.0	1.0	0.0	1.0	0.0	8
	Jelin	1983	4	1.0	1.0	0.0	1.0	0.0	7
	Tesssi	1982	3	1.0	1.0	0.0	1.0	0.0	6
	stoltmamma87	1988	4	2.0	1.0	1.0	0.5	0.5	8
	TvåBusar	1981	3	1.0	1.0	0.0	1.0	0.0	6
	Pallas	1974	3	7.0	3.0	4.0	0.42857142857142855	0.5714285714285714	5
	Mikah	1979	3	2.0	2.0	0.0	1.0	0.0	6
	Anova	1979	3	4.0	4.0	0.0	1.0	0.0	6
	felicityporter	1986	4	2.0	2.0	0.0	1.0	0.0	7
	Doktorn	1972	2	1.0	1.0	0.0	1.0	0.0	4
	Lyckobebisen	1986	4	2.0	2.0	0.0	1.0	0.0	7
	Daimis	1977	3	1.0	1.0	0.0	1.0	0.0	5
	Natli	1985	4	3.0	3.0	0.0	1.0	0.0	7
	My sunshine	1986	4	1.0	1.0	0.0	1.0	0.0	7
	Houdini	1966	2	1.0	0.0	1.0	0.0	1.0	3
	pluvdo	1987	4	4.0	4.0	0.0	1.0	0.0	7
	Lilla Lycka	1982	3	3.0	3.0	0.0	1.0	0.0	6
	hundpuss	1988	4	11.0	10.0	1.0	0.9090909090909091	0.09090909090909091	8
	DestinationX	1978	3	2.0	1.0	1.0	0.5	0.5	6
	Norpan81	1982	3	1.0	1.0	0.0	1.0	0.0	6
	gosmamman	1983	4	1.0	1.0	0.0	1.0	0.0	7
	saraA88	1971	2	1.0	1.0	0.0	1.0	0.0	4
	Tigra79	1980	3	4.0	4.0	0.0	1.0	0.0	6
	Horst	1976	3	2.0	2.0	0.0	1.0	0.0	5
	Sashimi	1976	3	5.0	3.0	2.0	0.6	0.4	5
	hally	1986	4	3.0	3.0	0.0	1.0	0.0	7
	FruE	1987	4	1.0	1.0	0.0	1.0	0.0	7
	Lindadjo	1978	3	2.0	2.0	0.0	1.0	0.0	6
	Susstuss	1984	4	2.0	2.0	0.0	1.0	0.0	7
	mammastegeby	1985	4	1.0	1.0	0.0	1.0	0.0	7
	Tittij	1978	3	1.0	1.0	0.0	1.0	0.0	6
	Gliimma	1990	4	2.0	2.0	0.0	1.0	0.0	8
	fiddelin	1985	4	1.0	1.0	0.0	1.0	0.0	7
	cid	1985	4	1.0	1.0	0.0	1.0	0.0	7
	Missariella	1980	3	1.0	1.0	0.0	1.0	0.0	6
	karinagumman	1979	3	1.0	1.0	0.0	1.0	0.0	6
	Jessan	1979	3	1.0	1.0	0.0	1.0	0.0	6
	estrella81	1981	3	1.0	1.0	0.0	1.0	0.0	6
	Smurfan JM	1986	4	3.0	3.0	0.0	1.0	0.0	7
	majlinsa	1988	4	1.0	1.0	0.0	1.0	0.0	8
	saltflingan	1990	4	4.0	4.0	0.0	1.0	0.0	8
	Hanniz	1987	4	2.0	2.0	0.0	1.0	0.0	7
	FridaLee	1987	4	3.0	3.0	0.0	1.0	0.0	7
	murremarre	1982	3	2.0	2.0	0.0	1.0	0.0	6
	högbergarna	1979	3	6.0	6.0	0.0	1.0	0.0	6
	abuelita	1951	1	28.0	28.0	0.0	1.0	0.0	1
	Lady Blue	1984	4	1.0	0.0	1.0	0.0	1.0	7
	Uliise	1988	4	1.0	1.0	0.0	1.0	0.0	8
	idiblon	1982	3	4.0	0.0	4.0	0.0	1.0	6
	SaraSara	1976	3	2.0	2.0	0.0	1.0	0.0	5
	Knasiga morsan	1985	4	2.0	2.0	0.0	1.0	0.0	7
	Hemlighet	1985	4	2.0	2.0	0.0	1.0	0.0	7
	kixan	1982	3	3.0	3.0	0.0	1.0	0.0	6
	PernillaWaxin	1987	4	1.0	1.0	0.0	1.0	0.0	7
