period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Pumpkin	1985		11.0	11.0	0.0	1.0	0.0
	Lavish	1986		14.0	14.0	0.0	1.0	0.0
	Butterscotch	1975		11.0	8.0	3.0	0.7272727272727273	0.2727272727272727
	Miss Cee	1981		12.0	12.0	0.0	1.0	0.0
	CeeJay	1973		11.0	11.0	0.0	1.0	0.0
	hundpuss	1988		11.0	10.0	1.0	0.9090909090909091	0.09090909090909091
	abuelita	1951		28.0	28.0	0.0	1.0	0.0
	Trolli	1985		36.0	36.0	0.0	1.0	0.0
	modestyclara	1979		10.0	9.0	1.0	0.9	0.1
	Chaktio	1977		10.0	10.0	0.0	1.0	0.0
	NadiaMi	1975		18.0	18.0	0.0	1.0	0.0
	zoi	1977		11.0	11.0	0.0	1.0	0.0
