period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Dorian Ertymexx	1973	3	48.0	46.0	2.0	0.9583333333333334	0.041666666666666664	6
	Pallas	1974	3	36.0	17.0	19.0	0.4722222222222222	0.5277777777777778	6
	Beckah82	1983	4	21.0	21.0	0.0	1.0	0.0	8
	Miss Cee	1981	3	20.0	20.0	0.0	1.0	0.0	7
	TessaS	1974	3	13.0	12.0	1.0	0.9230769230769231	0.07692307692307693	6
	J1983	1984	4	11.0	11.0	0.0	1.0	0.0	8
	abuelita	1951	1	28.0	27.0	1.0	0.9642857142857143	0.03571428571428571	1
	NadiaMi	1975	3	101.0	101.0	0.0	1.0	0.0	6
	Johan75	1976	3	11.0	9.0	2.0	0.8181818181818182	0.18181818181818182	6
	de Robespierre	1963	2	11.0	11.0	0.0	1.0	0.0	4
