period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Ninnie	1980	3	6.0	0.0	6.0	0.0	1.0	6
	Sally	1974	3	2.0	0.0	2.0	0.0	1.0	5
	gottelina	1974	3	1.0	0.0	1.0	0.0	1.0	5
	Solkattan	1976	3	10.0	0.0	10.0	0.0	1.0	5
	Linnis	1987	4	1.0	0.0	1.0	0.0	1.0	7
	Crollan	1968	2	1.0	0.0	1.0	0.0	1.0	4
	Vildrosen	1971	2	4.0	0.0	4.0	0.0	1.0	4
	Iorlover	1969	2	3.0	0.0	3.0	0.0	1.0	4
	JAG är BÄST	1973	3	30.0	2.0	28.0	0.06666666666666667	0.9333333333333333	5
	Camarogirl	1971	2	4.0	0.0	4.0	0.0	1.0	4
	junimagi	1982	3	5.0	0.0	5.0	0.0	1.0	6
	Jennie med ie	1976	3	19.0	0.0	19.0	0.0	1.0	5
	hymafr	1965	2	16.0	1.0	15.0	0.0625	0.9375	3
	Madame Mom	1974	3	6.0	0.0	6.0	0.0	1.0	5
	KevinsMamma83	1984	4	1.0	0.0	1.0	0.0	1.0	7
	orpan	1982	3	8.0	0.0	8.0	0.0	1.0	6
	dicny	1980	3	2.0	0.0	2.0	0.0	1.0	6
	Mashenjka	1973	3	2.0	0.0	2.0	0.0	1.0	5
	TeZs	1987	4	8.0	0.0	8.0	0.0	1.0	7
	Dompans mamma	1983	4	4.0	0.0	4.0	0.0	1.0	7
	idiblon	1982	3	22.0	0.0	22.0	0.0	1.0	6
	Urpan	1981	3	1.0	0.0	1.0	0.0	1.0	6
	Hoppfull84	1985	4	11.0	0.0	11.0	0.0	1.0	7
	LeaveMeAlone	1984	4	9.0	0.0	9.0	0.0	1.0	7
	EmmAhh	1987	4	9.0	0.0	9.0	0.0	1.0	7
	Lena	1980	3	6.0	0.0	6.0	0.0	1.0	6
	Freksta	1986	4	2.0	0.0	2.0	0.0	1.0	7
	villa villekulla	1984	4	2.0	0.0	2.0	0.0	1.0	7
	Joona	1978	3	1.0	0.0	1.0	0.0	1.0	6
	Mia386	1989	4	16.0	1.0	15.0	0.0625	0.9375	8
	RiNan	1984	4	6.0	0.0	6.0	0.0	1.0	7
	Trojan Rudeboy	1981	3	1.0	0.0	1.0	0.0	1.0	6
	hally	1986	4	7.0	0.0	7.0	0.0	1.0	7
	Lisa1976	1977	3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	5
	Annamaja	1981	3	2.0	0.0	2.0	0.0	1.0	6
	Dolliver	1980	3	3.0	0.0	3.0	0.0	1.0	6
	CoolJen	1980	3	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888	6
	Anova	1979	3	11.0	0.0	11.0	0.0	1.0	6
	Smilla	1982	3	2.0	0.0	2.0	0.0	1.0	6
	Bubblan84	1971	2	7.0	0.0	7.0	0.0	1.0	4
	linhol	1981	3	1.0	0.0	1.0	0.0	1.0	6
	FL Lisa	1983	4	4.0	0.0	4.0	0.0	1.0	7
	Malo	1982	3	3.0	0.0	3.0	0.0	1.0	6
	substitutet	1985	4	4.0	0.0	4.0	0.0	1.0	7
	cii	1986	4	6.0	0.0	6.0	0.0	1.0	7
	FreeForAll	1984	4	7.0	0.0	7.0	0.0	1.0	7
	Lima80	1981	3	3.0	0.0	3.0	0.0	1.0	6
	Tilcha	1985	4	31.0	0.0	31.0	0.0	1.0	7
	En glad tjej	1979	3	6.0	0.0	6.0	0.0	1.0	6
