period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	Mara	1974	3	2.0	1.0	1.0	0.5	0.5
	annajo	1978	3	4.0	0.0	4.0	0.0	1.0
	Diwa	1974	3	5.0	1.0	4.0	0.2	0.8
	flisan16	1980	3	3.0	0.0	3.0	0.0	1.0
	Jennie med ie	1976	3	18.0	1.0	17.0	0.05555555555555555	0.9444444444444444
	Camarogirl	1971	2	1.0	0.0	1.0	0.0	1.0
	Emeli	1954	1	2.0	0.0	2.0	0.0	1.0
	idiblon	1982	3	18.0	0.0	18.0	0.0	1.0
	Madame Mom	1974	3	2.0	0.0	2.0	0.0	1.0
	Ms Trooper	1985	4	2.0	0.0	2.0	0.0	1.0
	Butterscotch	1975	3	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Snooze	1981	3	18.0	0.0	18.0	0.0	1.0
	Ullegulle78	1979	3	1.0	0.0	1.0	0.0	1.0
	Annamaja	1981	3	6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
	Miss Cee	1981	3	20.0	6.0	14.0	0.3	0.7
	Scaniamamma	1987	4	1.0	0.0	1.0	0.0	1.0
	ego	1980	3	2.0	0.0	2.0	0.0	1.0
	LaFontaine	1985	4	13.0	0.0	13.0	0.0	1.0
	hundpuss	1988	4	10.0	1.0	9.0	0.1	0.9
	IsaViolia	1988	4	3.0	0.0	3.0	0.0	1.0
	sleeping angel	1984	4	4.0	1.0	3.0	0.25	0.75
	Azusephre	1988	4	2.0	0.0	2.0	0.0	1.0
	Habbi	1991	4	5.0	0.0	5.0	0.0	1.0
	Myzan	1976	3	4.0	0.0	4.0	0.0	1.0
	mithrandil	1983	4	36.0	0.0	36.0	0.0	1.0
	diddisen80	1981	3	2.0	1.0	1.0	0.5	0.5
	wiizz	1988	4	1.0	0.0	1.0	0.0	1.0
	Pappa2006	1979	3	3.0	0.0	3.0	0.0	1.0
	TigerLinn	1986	4	5.0	0.0	5.0	0.0	1.0
	CeeJay	1973	3	27.0	4.0	23.0	0.14814814814814814	0.8518518518518519
	Livetpålandet	1984	4	2.0	0.0	2.0	0.0	1.0
	lillpuckot	1984	4	1.0	0.0	1.0	0.0	1.0
	Smulu	1979	3	8.0	1.0	7.0	0.125	0.875
	Sadie	1984	4	10.0	1.0	9.0	0.1	0.9
	Ido	1987	4	2.0	0.0	2.0	0.0	1.0
	Klantus	1982	3	5.0	0.0	5.0	0.0	1.0
	Astarte	1980	3	6.0	0.0	6.0	0.0	1.0
	TessaS	1974	3	20.0	1.0	19.0	0.05	0.95
	Örnie	1963	2	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Frida Li	1986	4	1.0	0.0	1.0	0.0	1.0
	musli	1972	2	30.0	0.0	30.0	0.0	1.0
