period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	wilma123	1975	3	1.0	1.0	0.0	1.0	0.0	5
	Mara	1974	3	2.0	2.0	0.0	1.0	0.0	5
	Diwa	1974	3	9.0	0.0	9.0	0.0	1.0	5
	Emeli	1954	1	4.0	2.0	2.0	0.5	0.5	2
	JAG är BÄST	1973	3	29.0	1.0	28.0	0.034482758620689655	0.9655172413793104	5
	Jola	1977	3	1.0	0.0	1.0	0.0	1.0	5
	Camarogirl	1971	2	4.0	0.0	4.0	0.0	1.0	4
	mamma smurfen	1974	3	3.0	0.0	3.0	0.0	1.0	5
	hymafr	1965	2	21.0	7.0	14.0	0.3333333333333333	0.6666666666666666	3
	Jennie med ie	1976	3	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353	5
	FridaBjoerk	1992	4	4.0	1.0	3.0	0.25	0.75	8
	Um muhammed	1984	4	2.0	1.0	1.0	0.5	0.5	7
	Linaek	1964	2	10.0	3.0	7.0	0.3	0.7	3
	Jess87	1988	4	2.0	0.0	2.0	0.0	1.0	8
	Pallas	1974	3	25.0	0.0	25.0	0.0	1.0	5
	antitanten	1955	1	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666	2
	Johannapanna87	1988	4	1.0	1.0	0.0	1.0	0.0	8
	TheFamily	1980	3	5.0	0.0	5.0	0.0	1.0	6
	ModestyB	1982	3	6.0	0.0	6.0	0.0	1.0	6
	Panope	1980	3	1.0	0.0	1.0	0.0	1.0	6
	mirre67	1968	2	10.0	3.0	7.0	0.3	0.7	4
	WhiteAngels	1980	3	21.0	2.0	19.0	0.09523809523809523	0.9047619047619048	6
	Ripper500	1984	4	1.0	0.0	1.0	0.0	1.0	7
	Egogirl	1981	3	7.0	3.0	4.0	0.42857142857142855	0.5714285714285714	6
	gosmamman	1983	4	11.0	6.0	5.0	0.5454545454545454	0.45454545454545453	7
	cherryblossom	1983	4	1.0	1.0	0.0	1.0	0.0	7
	83an	1984	4	3.0	0.0	3.0	0.0	1.0	7
	StaffenAssar	1983	4	14.0	0.0	14.0	0.0	1.0	7
	Lippans	1979	3	3.0	0.0	3.0	0.0	1.0	6
	LillaEllan	1987	4	3.0	0.0	3.0	0.0	1.0	7
	lokisse	1961	1	43.0	29.0	14.0	0.6744186046511628	0.32558139534883723	3
	Lisa1976	1977	3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333	5
	Betty Boop	1974	3	1.0	0.0	1.0	0.0	1.0	5
	Chipotle	1980	3	3.0	0.0	3.0	0.0	1.0	6
	Suzycreamcheese	1976	3	2.0	0.0	2.0	0.0	1.0	5
	Vinterbarnet	1983	4	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	7
	TheOnlyOne	1979	3	1.0	0.0	1.0	0.0	1.0	6
	Kickiliisa	1978	3	2.0	0.0	2.0	0.0	1.0	6
	mammasgullar	1990	4	10.0	0.0	10.0	0.0	1.0	8
	Jenny28	1976	3	16.0	1.0	15.0	0.0625	0.9375	5
	Eaive	1984	4	1.0	0.0	1.0	0.0	1.0	7
	luzorsus	1978	3	4.0	0.0	4.0	0.0	1.0	6
