speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1	1975	0.0	4.0	11.0	9.0	1.0	87.0	0.0	10.0	155.0	16.0			8.0	3.0	8.0	0.0	0.0	14.0	1.0	10.0	2.0	5.0
user2	1972	0.0	1.0	1.0	0.0	1.0	30.0			34.0	8.0	3.0	0.0	1.0	0.0	4.0	0.0	0.0	5.0	0.0	4.0	0.0	9.0
user3	1983	1.0	0.0			0.0	3.0			1.0	2.0							0.0	2.0	0.0	2.0	0.0	1.0
user4	1981	1.0	1.0	1.0	2.0	2.0	45.0	0.0	1.0	19.0	87.0			1.0	0.0	2.0	0.0	0.0	11.0	0.0	6.0	1.0	12.0
user5	1986	0.0	2.0	0.0	2.0	0.0	11.0			53.0	3.0							0.0	7.0	0.0	5.0	0.0	1.0
user6	1978	0.0	1.0	0.0	2.0	0.0	25.0	0.0	1.0	22.0	10.0			0.0	1.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0
user7	1980	0.0	1.0	0.0	2.0	1.0	13.0			26.0	14.0	1.0	0.0					0.0	7.0				
user8	1973	0.0	1.0			0.0	2.0			2.0	6.0											0.0	1.0
user9	1978	0.0	4.0	2.0	2.0	0.0	43.0	0.0	8.0	14.0	179.0	4.0	0.0	2.0	0.0			0.0	18.0	0.0	11.0	1.0	3.0
user10	1984	0.0	2.0	0.0	3.0	0.0	47.0	0.0	3.0	11.0	60.0							0.0	12.0	0.0	2.0	0.0	6.0
user11	1972	0.0	2.0	1.0	6.0	0.0	22.0	0.0	10.0	93.0	54.0	6.0	0.0			1.0	0.0	0.0	19.0	0.0	30.0	0.0	15.0
user12	1986	0.0	1.0			1.0	9.0			0.0	24.0			1.0	0.0			0.0	1.0			0.0	3.0
