verb	nprolific_speakers	total_prolific	microave_v2rel_prolific	nspeakers	total	microave_v2rel
försöka	3246.0	30164.0	0.9521946691420236	3246	30164.0	0.9521946691420236
fortsätta	1512.0	4443.0	0.5982444294395679	1512	4443.0	0.5982444294395679
glömma	1591.0	4026.0	0.8564331843020367	1591	4026.0	0.8564331843020367
komma	3743.0	86311.0	0.6119266373926846	3743	86311.0	0.6119266373926846
slippa	2112.0	8760.0	0.9786529680365297	2112	8760.0	0.9786529680365297
sluta	1908.0	6460.0	0.9404024767801857	1908	6460.0	0.9404024767801857
vägra	1756.0	6864.0	0.8358100233100233	1756	6864.0	0.8358100233100233
behaga	400.0	657.0	0.8188736681887366	400	657.0	0.8188736681887366
lova	556.0	939.0	0.1288604898828541	556	939.0	0.1288604898828541
planera	847.0	1603.0	0.07111665626949469	847	1603.0	0.07111665626949469
riskera	422.0	1023.0	0.09775171065493646	422	1023.0	0.09775171065493646
