period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2009	AAEV	22		10.0	0.0	10.0	0.0	1.0
2009	Gravid 89	19		23.0	0.0	23.0	0.0	1.0
2008	Geshia	27		10.0	2.0	8.0	0.2	0.8
2008	Saltlakrits	24		15.0	8.0	7.0	0.5333333333333333	0.4666666666666667
2008	Pallas	34		16.0	0.0	16.0	0.0	1.0
2010	Helene70	39		22.0	0.0	22.0	0.0	1.0
2009	modestyclara	30		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2008	jesslin	35		11.0	0.0	11.0	0.0	1.0
2008	nikki2006	41		10.0	1.0	9.0	0.1	0.9
2010	abuelita	59		13.0	0.0	13.0	0.0	1.0
2008	abuelita	57		10.0	3.0	7.0	0.3	0.7
2009	LillaLoppanT	28		10.0	0.0	10.0	0.0	1.0
2009	nikki2006	42		11.0	0.0	11.0	0.0	1.0
2009	Mania x2	31		11.0	11.0	0.0	1.0	0.0
2008	Mirren	30		10.0	7.0	3.0	0.7	0.3
2008	MissHellen	24		10.0	1.0	9.0	0.1	0.9
