period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2009	JAG är BÄST	36		17.0	2.0	15.0	0.11764705882352941	0.8823529411764706
2009	idiblon	27		20.0	0.0	20.0	0.0	1.0
2010	Hoppfull84	25		11.0	0.0	11.0	0.0	1.0
2010	Mia386	21		16.0	1.0	15.0	0.0625	0.9375
2008	Tilcha	23		15.0	0.0	15.0	0.0	1.0
2009	hotten	34		18.0	0.0	18.0	0.0	1.0
2009	Astarte	29		11.0	0.0	11.0	0.0	1.0
2008	hotten	33		20.0	0.0	20.0	0.0	1.0
2008	Sadie	24		12.0	0.0	12.0	0.0	1.0
2010	angeni	22		14.0	0.0	14.0	0.0	1.0
2008	Dorian Ertymexx	35		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
2009	WhiteAngels	29		12.0	0.0	12.0	0.0	1.0
2009	Beckah82	26		13.0	0.0	13.0	0.0	1.0
2010	lokisse	49		16.0	0.0	16.0	0.0	1.0
2009	musli	37		14.0	0.0	14.0	0.0	1.0
2008	MalinI	29		12.0	0.0	12.0	0.0	1.0
2008	Mamma till viljestark dotter	32		10.0	0.0	10.0	0.0	1.0
2010	astro	32		10.0	0.0	10.0	0.0	1.0
2008	Beckah82	25		64.0	9.0	55.0	0.140625	0.859375
2009	Dorian Ertymexx	36		29.0	0.0	29.0	0.0	1.0
2009	car	34		19.0	0.0	19.0	0.0	1.0
2009	Pallas	35		11.0	0.0	11.0	0.0	1.0
2009	Lavish	23		14.0	0.0	14.0	0.0	1.0
2008	Tant Groda	25		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2010	Miss Cee	29		20.0	0.0	20.0	0.0	1.0
2009	SuzR	27		11.0	0.0	11.0	0.0	1.0
2010	Loris	22		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2009	saltflingan	19		15.0	0.0	15.0	0.0	1.0
2008	saltflingan	18		23.0	0.0	23.0	0.0	1.0
2008	skorpiona	27		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
2009	Maddisen80	28		28.0	0.0	28.0	0.0	1.0
2010	AmandaBrun	25		10.0	0.0	10.0	0.0	1.0
2009	mamita64	44		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
2009	Erika Ö	20		11.0	0.0	11.0	0.0	1.0
2010	saltflingan	20		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
2010	Flisan79	30		11.0	0.0	11.0	0.0	1.0
2009	Snoffsan	29		10.0	0.0	10.0	0.0	1.0
2009	fabler	45		10.0	0.0	10.0	0.0	1.0
2009	modestyclara	30		26.0	0.0	26.0	0.0	1.0
2009	Tant Groda	26		11.0	3.0	8.0	0.2727272727272727	0.7272727272727273
2010	Dorian Ertymexx	37		12.0	0.0	12.0	0.0	1.0
2010	Lavish	24		16.0	0.0	16.0	0.0	1.0
2009	Jungblom	23		17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
2010	StaffenAssar	27		13.0	0.0	13.0	0.0	1.0
2008	Joje	33		19.0	0.0	19.0	0.0	1.0
2008	Jenny28	32		12.0	0.0	12.0	0.0	1.0
2010	Lilla JJ	32		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
2009	TessaS	35		12.0	0.0	12.0	0.0	1.0
2009	fruganL	19		23.0	0.0	23.0	0.0	1.0
2010	MrsCharlotte	29		11.0	0.0	11.0	0.0	1.0
2009	MrsCharlotte	28		18.0	0.0	18.0	0.0	1.0
2010	Bohman	24		12.0	0.0	12.0	0.0	1.0
2009	delifi2	34		11.0	0.0	11.0	0.0	1.0
