period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2009	Jennie med ie	33		27.0	0.0	27.0	0.0	1.0
2006	Jennie med ie	30		50.0	0.0	50.0	0.0	1.0
2006	Turran	30		15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
2007	Jennie med ie	31		52.0	0.0	52.0	0.0	1.0
2009	hundpuss	21		11.0	0.0	11.0	0.0	1.0
2005	Jennie med ie	29		12.0	0.0	12.0	0.0	1.0
2008	Jennie med ie	32		22.0	0.0	22.0	0.0	1.0
2009	Dorian Ertymexx	36		38.0	0.0	38.0	0.0	1.0
2012	KiaL	36		13.0	0.0	13.0	0.0	1.0
2008	Dorian Ertymexx	35		10.0	1.0	9.0	0.1	0.9
