period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	2.0	0.0	2.0	0.0	1.0	NA	NA
2004	19.0	1.0	18.0	0.05263157894736842	0.9473684210526315	NA	NA
2005	46.0	3.0	43.0	0.06521739130434782	0.9347826086956522	NA	NA
2006	132.0	7.0	125.0	0.05303030303030303	0.946969696969697	NA	NA
2007	141.0	5.0	136.0	0.03546099290780142	0.9645390070921985	NA	NA
2008	117.0	10.0	107.0	0.08547008547008547	0.9145299145299145	NA	NA
2009	276.0	10.0	266.0	0.036231884057971016	0.9637681159420289	NA	NA
2010	158.0	17.0	141.0	0.10759493670886076	0.8924050632911392	NA	NA
2011	146.0	13.0	133.0	0.08904109589041095	0.910958904109589	NA	NA
2012	140.0	6.0	134.0	0.04285714285714286	0.9571428571428572	NA	NA
2013	74.0	6.0	68.0	0.08108108108108109	0.918918918918919	NA	NA
2014	57.0	6.0	51.0	0.10526315789473684	0.8947368421052632	NA	NA
2015	39.0	3.0	36.0	0.07692307692307693	0.9230769230769231	NA	NA
2016	29.0	4.0	25.0	0.13793103448275862	0.8620689655172413	NA	NA
2017	28.0	0.0	28.0	0.0	1.0	NA	NA
2018	25.0	3.0	22.0	0.12	0.88	NA	NA
2019	24.0	3.0	21.0	0.125	0.875	NA	NA
2020	15.0	2.0	13.0	0.13333333333333333	0.8666666666666667	NA	NA
2021	18.0	2.0	16.0	0.1111111111111111	0.8888888888888888	NA	NA
2022	2.0	1.0	1.0	0.5	0.5	NA	NA
