period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666	NA	NA
2004	32.0	8.0	24.0	0.25	0.75	NA	NA
2005	95.0	18.0	77.0	0.18947368421052632	0.8105263157894737	NA	NA
2006	141.0	20.0	121.0	0.14184397163120568	0.8581560283687943	NA	NA
2007	195.0	39.0	156.0	0.2	0.8	NA	NA
2008	207.0	30.0	177.0	0.14492753623188406	0.855072463768116	NA	NA
2009	238.0	45.0	193.0	0.18907563025210083	0.8109243697478992	NA	NA
2010	212.0	44.0	168.0	0.20754716981132076	0.7924528301886793	NA	NA
2011	177.0	27.0	150.0	0.15254237288135594	0.847457627118644	NA	NA
2012	118.0	22.0	96.0	0.1864406779661017	0.8135593220338984	NA	NA
2013	69.0	18.0	51.0	0.2608695652173913	0.7391304347826086	NA	NA
2014	42.0	10.0	32.0	0.23809523809523808	0.7619047619047619	NA	NA
2015	25.0	5.0	20.0	0.2	0.8	NA	NA
2016	21.0	3.0	18.0	0.14285714285714285	0.8571428571428571	NA	NA
2017	18.0	5.0	13.0	0.2777777777777778	0.7222222222222222	NA	NA
2018	5.0	2.0	3.0	0.4	0.6	NA	NA
2019	8.0	4.0	4.0	0.5	0.5	NA	NA
2020	1.0	0.0	1.0	0.0	1.0	NA	NA
2022	5.0	0.0	5.0	0.0	1.0	NA	NA
