period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	85.0	0.0	85.0	0.0	1.0	NA	NA
2004	1122.0	3.0	1119.0	0.00267379679144385	0.9973262032085561	NA	NA
2005	2669.0	3.0	2666.0	0.0011240164855751218	0.9988759835144249	NA	NA
2006	5049.0	5.0	5044.0	0.0009902951079421667	0.9990097048920579	NA	NA
2007	7103.0	8.0	7095.0	0.0011262846684499507	0.99887371533155	NA	NA
2008	8292.0	8.0	8284.0	0.000964785335262904	0.9990352146647371	NA	NA
2009	10971.0	10.0	10961.0	0.0009114939385653086	0.9990885060614347	NA	NA
2010	9516.0	4.0	9512.0	0.0004203446826397646	0.9995796553173603	NA	NA
2011	9172.0	8.0	9164.0	0.0008722197993894462	0.9991277802006105	NA	NA
2012	7529.0	4.0	7525.0	0.0005312790543232833	0.9994687209456767	NA	NA
2013	4202.0	5.0	4197.0	0.0011899095668729176	0.9988100904331271	NA	NA
2014	2462.0	0.0	2462.0	0.0	1.0	NA	NA
2015	1854.0	3.0	1851.0	0.0016181229773462784	0.9983818770226537	NA	NA
2016	1516.0	1.0	1515.0	0.0006596306068601583	0.9993403693931399	NA	NA
2017	1698.0	5.0	1693.0	0.002944640753828033	0.997055359246172	NA	NA
2018	1463.0	0.0	1463.0	0.0	1.0	NA	NA
2019	1600.0	0.0	1600.0	0.0	1.0	NA	NA
2020	1271.0	2.0	1269.0	0.0015735641227380016	0.998426435877262	NA	NA
2021	588.0	0.0	588.0	0.0	1.0	NA	NA
2022	271.0	1.0	270.0	0.0036900369003690036	0.996309963099631	NA	NA
