period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	195.0	0.0	195.0	0.0	1.0	NA	NA
2004	2117.0	2.0	2115.0	0.000944733112895607	0.9990552668871044	NA	NA
2005	4537.0	5.0	4532.0	0.001102049812651532	0.9988979501873485	NA	NA
2006	8465.0	10.0	8455.0	0.0011813349084465446	0.9988186650915535	NA	NA
2007	11281.0	8.0	11273.0	0.000709156989628579	0.9992908430103714	NA	NA
2008	12804.0	4.0	12800.0	0.00031240237425804435	0.999687597625742	NA	NA
2009	15431.0	4.0	15427.0	0.0002592184563540924	0.9997407815436459	NA	NA
2010	12280.0	1.0	12279.0	8.143322475570033e-05	0.9999185667752443	NA	NA
2011	11768.0	2.0	11766.0	0.0001699524133242692	0.9998300475866757	NA	NA
2012	8769.0	6.0	8763.0	0.0006842285323297981	0.9993157714676703	NA	NA
2013	4527.0	1.0	4526.0	0.0002208968411751712	0.9997791031588248	NA	NA
2014	2552.0	0.0	2552.0	0.0	1.0	NA	NA
2015	2050.0	0.0	2050.0	0.0	1.0	NA	NA
2016	1768.0	0.0	1768.0	0.0	1.0	NA	NA
2017	1641.0	0.0	1641.0	0.0	1.0	NA	NA
2018	1299.0	0.0	1299.0	0.0	1.0	NA	NA
2019	1066.0	0.0	1066.0	0.0	1.0	NA	NA
2020	766.0	0.0	766.0	0.0	1.0	NA	NA
2021	422.0	0.0	422.0	0.0	1.0	NA	NA
2022	279.0	0.0	279.0	0.0	1.0	NA	NA
