period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	144.0	5.0	139.0	0.034722222222222224	0.9652777777777778	NA	NA
2004	1294.0	104.0	1190.0	0.080370942812983	0.919629057187017	NA	NA
2005	2943.0	193.0	2750.0	0.06557934080869861	0.9344206591913014	NA	NA
2006	6031.0	409.0	5622.0	0.06781628254020892	0.9321837174597911	NA	NA
2007	7599.0	424.0	7175.0	0.05579681537044348	0.9442031846295565	NA	NA
2008	9022.0	419.0	8603.0	0.0464420305918865	0.9535579694081135	NA	NA
2009	11391.0	552.0	10839.0	0.04845930998156439	0.9515406900184356	NA	NA
2010	9750.0	471.0	9279.0	0.04830769230769231	0.9516923076923077	NA	NA
2011	9686.0	377.0	9309.0	0.038922155688622756	0.9610778443113772	NA	NA
2012	7471.0	307.0	7164.0	0.041092223263284704	0.9589077767367153	NA	NA
2013	3963.0	173.0	3790.0	0.04365379762805955	0.9563462023719405	NA	NA
2014	2554.0	119.0	2435.0	0.04659357870007831	0.9534064212999217	NA	NA
2015	1866.0	82.0	1784.0	0.04394426580921758	0.9560557341907824	NA	NA
2016	1506.0	59.0	1447.0	0.039176626826029216	0.9608233731739708	NA	NA
2017	1445.0	61.0	1384.0	0.04221453287197232	0.9577854671280277	NA	NA
2018	1152.0	41.0	1111.0	0.035590277777777776	0.9644097222222222	NA	NA
2019	951.0	29.0	922.0	0.030494216614090432	0.9695057833859095	NA	NA
2020	669.0	15.0	654.0	0.02242152466367713	0.9775784753363229	NA	NA
2021	444.0	12.0	432.0	0.02702702702702703	0.972972972972973	NA	NA
2022	200.0	4.0	196.0	0.02	0.98	NA	NA
