period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	11.0	0.0	11.0	0.0	1.0	NA	NA
2004	169.0	0.0	169.0	0.0	1.0	NA	NA
2005	388.0	1.0	387.0	0.002577319587628866	0.9974226804123711	NA	NA
2006	863.0	0.0	863.0	0.0	1.0	NA	NA
2007	1198.0	1.0	1197.0	0.0008347245409015025	0.9991652754590985	NA	NA
2008	1321.0	0.0	1321.0	0.0	1.0	NA	NA
2009	1666.0	0.0	1666.0	0.0	1.0	NA	NA
2010	1351.0	0.0	1351.0	0.0	1.0	NA	NA
2011	1421.0	0.0	1421.0	0.0	1.0	NA	NA
2012	1129.0	1.0	1128.0	0.0008857395925597874	0.9991142604074402	NA	NA
2013	612.0	0.0	612.0	0.0	1.0	NA	NA
2014	392.0	0.0	392.0	0.0	1.0	NA	NA
2015	255.0	0.0	255.0	0.0	1.0	NA	NA
2016	177.0	0.0	177.0	0.0	1.0	NA	NA
2017	190.0	0.0	190.0	0.0	1.0	NA	NA
2018	151.0	0.0	151.0	0.0	1.0	NA	NA
2019	175.0	0.0	175.0	0.0	1.0	NA	NA
2020	120.0	0.0	120.0	0.0	1.0	NA	NA
2021	61.0	0.0	61.0	0.0	1.0	NA	NA
2022	45.0	0.0	45.0	0.0	1.0	NA	NA
