period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1.0	1.0	0.0	1.0	0.0	NA	NA
2004	9.0	7.0	2.0	0.7777777777777778	0.2222222222222222	NA	NA
2005	35.0	34.0	1.0	0.9714285714285714	0.02857142857142857	NA	NA
2006	48.0	45.0	3.0	0.9375	0.0625	NA	NA
2007	73.0	65.0	8.0	0.8904109589041096	0.1095890410958904	NA	NA
2008	85.0	83.0	2.0	0.9764705882352941	0.023529411764705882	NA	NA
2009	155.0	149.0	6.0	0.9612903225806452	0.03870967741935484	NA	NA
2010	112.0	110.0	2.0	0.9821428571428571	0.017857142857142856	NA	NA
2011	130.0	127.0	3.0	0.9769230769230769	0.023076923076923078	NA	NA
2012	123.0	115.0	8.0	0.9349593495934959	0.06504065040650407	NA	NA
2013	99.0	96.0	3.0	0.9696969696969697	0.030303030303030304	NA	NA
2014	62.0	59.0	3.0	0.9516129032258065	0.04838709677419355	NA	NA
2015	38.0	37.0	1.0	0.9736842105263158	0.02631578947368421	NA	NA
2016	46.0	45.0	1.0	0.9782608695652174	0.021739130434782608	NA	NA
2017	68.0	65.0	3.0	0.9558823529411765	0.04411764705882353	NA	NA
2018	25.0	25.0	0.0	1.0	0.0	NA	NA
2019	31.0	30.0	1.0	0.967741935483871	0.03225806451612903	NA	NA
2020	32.0	25.0	7.0	0.78125	0.21875	NA	NA
2021	23.0	17.0	6.0	0.7391304347826086	0.2608695652173913	NA	NA
2022	24.0	13.0	11.0	0.5416666666666666	0.4583333333333333	NA	NA
