period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1.0	1.0	0.0	1.0	0.0	NA	NA
2004	10.0	9.0	1.0	0.9	0.1	NA	NA
2005	11.0	11.0	0.0	1.0	0.0	NA	NA
2006	19.0	16.0	3.0	0.8421052631578947	0.15789473684210525	NA	NA
2007	31.0	29.0	2.0	0.9354838709677419	0.06451612903225806	NA	NA
2008	36.0	36.0	0.0	1.0	0.0	NA	NA
2009	56.0	53.0	3.0	0.9464285714285714	0.05357142857142857	NA	NA
2010	29.0	29.0	0.0	1.0	0.0	NA	NA
2011	30.0	26.0	4.0	0.8666666666666667	0.13333333333333333	NA	NA
2012	27.0	25.0	2.0	0.9259259259259259	0.07407407407407407	NA	NA
2013	18.0	18.0	0.0	1.0	0.0	NA	NA
2014	8.0	7.0	1.0	0.875	0.125	NA	NA
2015	8.0	8.0	0.0	1.0	0.0	NA	NA
2016	6.0	5.0	1.0	0.8333333333333334	0.16666666666666666	NA	NA
2017	5.0	5.0	0.0	1.0	0.0	NA	NA
2018	10.0	10.0	0.0	1.0	0.0	NA	NA
2020	3.0	3.0	0.0	1.0	0.0	NA	NA
2021	1.0	1.0	0.0	1.0	0.0	NA	NA
2022	1.0	1.0	0.0	1.0	0.0	NA	NA
