period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	15.0	14.0	1.0	0.9333333333333333	0.06666666666666667	NA	NA
2004	100.0	87.0	13.0	0.87	0.13	NA	NA
2005	168.0	161.0	7.0	0.9583333333333334	0.041666666666666664	NA	NA
2006	241.0	224.0	17.0	0.9294605809128631	0.07053941908713693	NA	NA
2007	352.0	327.0	25.0	0.9289772727272727	0.07102272727272728	NA	NA
2008	534.0	494.0	40.0	0.9250936329588015	0.0749063670411985	NA	NA
2009	580.0	531.0	49.0	0.9155172413793103	0.08448275862068966	NA	NA
2010	503.0	478.0	25.0	0.9502982107355865	0.04970178926441352	NA	NA
2011	568.0	528.0	40.0	0.9295774647887324	0.07042253521126761	NA	NA
2012	357.0	321.0	36.0	0.8991596638655462	0.10084033613445378	NA	NA
2013	179.0	166.0	13.0	0.9273743016759777	0.07262569832402235	NA	NA
2014	144.0	133.0	11.0	0.9236111111111112	0.0763888888888889	NA	NA
2015	92.0	87.0	5.0	0.9456521739130435	0.05434782608695652	NA	NA
2016	74.0	66.0	8.0	0.8918918918918919	0.10810810810810811	NA	NA
2017	63.0	58.0	5.0	0.9206349206349206	0.07936507936507936	NA	NA
2018	35.0	32.0	3.0	0.9142857142857143	0.08571428571428572	NA	NA
2019	31.0	29.0	2.0	0.9354838709677419	0.06451612903225806	NA	NA
2020	32.0	29.0	3.0	0.90625	0.09375	NA	NA
2021	13.0	11.0	2.0	0.8461538461538461	0.15384615384615385	NA	NA
2022	3.0	3.0	0.0	1.0	0.0	NA	NA
