period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	2.0	0.0	2.0	0.0	1.0	NA	NA
2004	20.0	7.0	13.0	0.35	0.65	NA	NA
2005	43.0	9.0	34.0	0.20930232558139536	0.7906976744186046	NA	NA
2006	92.0	13.0	79.0	0.14130434782608695	0.8586956521739131	NA	NA
2007	85.0	12.0	73.0	0.1411764705882353	0.8588235294117647	NA	NA
2008	109.0	13.0	96.0	0.11926605504587157	0.8807339449541285	NA	NA
2009	121.0	13.0	108.0	0.10743801652892562	0.8925619834710744	NA	NA
2010	101.0	9.0	92.0	0.0891089108910891	0.9108910891089109	NA	NA
2011	129.0	23.0	106.0	0.17829457364341086	0.8217054263565892	NA	NA
2012	90.0	27.0	63.0	0.3	0.7	NA	NA
2013	69.0	14.0	55.0	0.2028985507246377	0.7971014492753623	NA	NA
2014	34.0	4.0	30.0	0.11764705882352941	0.8823529411764706	NA	NA
2015	28.0	6.0	22.0	0.21428571428571427	0.7857142857142857	NA	NA
2016	11.0	2.0	9.0	0.18181818181818182	0.8181818181818182	NA	NA
2017	40.0	3.0	37.0	0.075	0.925	NA	NA
2018	34.0	5.0	29.0	0.14705882352941177	0.8529411764705882	NA	NA
2019	41.0	4.0	37.0	0.0975609756097561	0.9024390243902439	NA	NA
2020	27.0	1.0	26.0	0.037037037037037035	0.9629629629629629	NA	NA
2021	19.0	3.0	16.0	0.15789473684210525	0.8421052631578947	NA	NA
2022	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571	NA	NA
