period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1	1	0	1.0000000000	0.0000000000	0.14610350001161523	0.0
2004	28	28	0	1.0000000000	0.0000000000	0.2902704717448753	0.0
2005	117	109	8	0.9316239316	0.0683760684	0.4690548446336083	0.03442604364283364
2006	169	165	4	0.9763313609	0.0236686391	0.3517077288140036	0.008526247971248572
2007	288	278	10	0.9652777778	0.0347222222	0.43783255823951045	0.015749372598543542
2008	319	310	9	0.9717868339	0.0282131661	0.49779568923031986	0.014452132913138318
2009	311	300	11	0.9646302251	0.0353697749	0.5057160085875838	0.018542920314878072
2010	223	220	3	0.9865470852	0.0134529148	0.5338827562841744	0.0072802194038751045
2011	234	226	8	0.9658119658	0.0341880342	0.6265701768925438	0.02217947528823164
2012	194	188	6	0.9690721649	0.0309278351	0.6473530580524598	0.020660203980397654
2013	169	165	4	0.9763313609	0.0236686391	0.7941750943725484	0.01925272956054663
2014	104	103	1	0.9903846154	0.0096153846	0.743434883531001	0.007217814403213602
2015	81	80	1	0.9876543210	0.0123456790	0.9007858376829185	0.011259822971036481
2016	53	52	1	0.9811320755	0.0188679245	0.8130100621877651	0.01563480888822625
2017	61	60	1	0.9836065574	0.0163934426	0.9747240726726977	0.016245401211211624
2018	57	54	3	0.9473684211	0.0526315789	0.9549041898649441	0.053050232770274666
2019	58	56	2	0.9655172414	0.0344827586	1.2234357685516448	0.04369413459113017
2020	46	45	1	0.9782608696	0.0217391304	1.0789671349727703	0.02397704744383934
2021	40	40	0	1.0000000000	0.0000000000	0.9825509030760452	0.0
2022	31	30	1	0.9677419355	0.0322580645	0.9089821342288463	0.030299404474294876
