period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	506	138	368	0.2727272727	0.7272727273	20.1622830016029	53.76608800427441
2004	5609	1743	3866	0.3107505794	0.6892494206	18.069336866118487	40.07805870591742
2005	11715	4130	7585	0.3525394793	0.6474605207	17.772445030612865	32.64019262886164
2006	23640	8473	15167	0.3584179357	0.6415820643	18.060724765097287	32.32940074498177
2007	32821	11855	20966	0.3612016697	0.6387983303	18.670881215573367	33.02013459010639
2008	32476	12165	20311	0.3745843084	0.6254156916	19.534466320925294	32.615252399861376
2009	30611	12501	18110	0.4083826076	0.5916173924	21.073186077844618	30.528389718403805
2010	21202	9218	11984	0.4347703047	0.5652296953	22.369687488306905	29.08204977867975
2011	17292	7941	9351	0.4592297016	0.5407702984	22.01590165798093	25.925034177531757
2012	13801	6620	7181	0.4796753858	0.5203246142	22.795091725038745	24.726820797205924
2013	9612	4781	4831	0.4973990845	0.5026009155	23.01182500724336	23.25248412675019
2014	6111	3270	2841	0.5351006382	0.4648993618	23.60225309850848	20.505810719529844
2015	4078	2187	1891	0.5362923001	0.4637076999	24.625232837656785	21.292325238229985
2016	2826	1526	1300	0.5399858457	0.4600141543	23.858718363433262	20.325251554694127
2017	2782	1566	1216	0.5629043853	0.4370956147	25.44029829675741	19.754407872833337
2018	2421	1346	1075	0.5559686080	0.4440313920	23.801871102929898	19.009666742681755
2019	1904	1119	785	0.5877100840	0.4122899160	24.44686830373733	17.14994782701859
2020	1838	1029	809	0.5598476605	0.4401523395	24.672381819710683	19.397431382066028
2021	1692	1015	677	0.5998817967	0.4001182033	24.932229165554645	16.629674034562065
2022	1351	826	525	0.6113989637	0.3886010363	25.02730809576757	15.907187349004811
