period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	320	8	312	0.0250000000	0.9750000000	1.1688280000929219	45.58429200362395
2004	3918	71	3847	0.0181214906	0.9818785094	0.7360429819245052	39.8810894572334
2005	12520	215	12305	0.0171725240	0.9828274760	0.925199922901154	52.951558378133484
2006	25414	381	25033	0.0149917368	0.9850082632	0.8121251192614264	53.35939136606637
2007	35766	399	35366	0.0111558463	0.9888161942	0.6283999666818874	55.69923113200908
2008	35515	385	35130	0.0108404899	0.9891595101	0.6182301301731391	56.41149213761657
2009	32577	292	32285	0.0089633791	0.9910366209	0.4922302483585815	54.42347112416714
2010	22741	208	22533	0.0091464755	0.9908535245	0.504761878668674	54.681727942505916
2011	17533	170	17363	0.0096960018	0.9903039982	0.4713138498749223	48.137778678695746
2012	13484	122	13362	0.0090477603	0.9909522397	0.4200908142680856	46.010274264345576
2013	8783	87	8696	0.0099054993	0.9900945007	0.4187468679418892	41.85543406462837
2014	5810	61	5749	0.0104991394	0.9895008606	0.4402866785960297	41.495215004075
2015	3737	23	3714	0.0061546695	0.9938453305	0.2589759283338391	41.81898251442949
2016	2689	26	2663	0.0096690219	0.9903309781	0.40650503109388253	41.63549606934651
2017	2376	17	2359	0.0071548822	0.9928451178	0.27617182059059764	38.32290145724823
2018	2047	18	2029	0.0087933561	0.9912066439	0.31830139662164797	35.8796407636291
2019	1489	10	1479	0.0067159167	0.9932840833	0.21847067295565084	32.31181253014076
2020	1473	6	1466	0.0040733198	0.9952477936	0.14386228466303605	35.150351552668475
2021	1433	12	1421	0.0083740405	0.9916259595	0.2947652709228135	34.9051208317765
2022	1073	12	1061	0.0111835974	0.9888164026	0.3635928536915386	32.14766814722687
