period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	5	5	0	1.0000000000	0.0000000000	0.7305175000580761	0.0
2004	67	58	9	0.8656716418	0.1343283582	0.6012745486143847	0.09330122306085278
2005	154	131	23	0.8506493506	0.1493506494	0.5637264646514009	0.0989748754731467
2006	337	296	41	0.8783382789	0.1216617211	0.6309423498723943	0.08739404170529785
2007	533	452	81	0.8480300188	0.1519699812	0.711871641454168	0.12756991804820267
2008	492	419	73	0.8516260163	0.1483739837	0.672827076733884	0.1172228558510108
2009	529	467	62	0.8827977316	0.1172022684	0.7872312533680054	0.10451464177476731
2010	359	313	46	0.8718662953	0.1281337047	0.7595695578043026	0.11163003085941828
2011	373	313	60	0.8391420912	0.1608579088	0.8677719706520628	0.1663460646617373
2012	389	338	51	0.8688946015	0.1311053985	1.1638581575624012	0.17561173383338005
2013	286	256	30	0.8951048951	0.1048951049	1.2321746918749843	0.14439547170409972
2014	236	190	46	0.8050847458	0.1949152542	1.3713847366105842	0.3320194625478257
2015	161	143	18	0.8881987578	0.1118012422	1.6101546848582167	0.20267681347865668
2016	121	106	15	0.8760330579	0.1239669421	1.6572897421519825	0.23452213332339375
2017	136	111	25	0.8161764706	0.1838235294	1.8032395344444907	0.4061350302802907
2018	97	84	13	0.8659793814	0.1340206186	1.4854065175676907	0.22988434200452354
2019	81	57	24	0.7037037037	0.2962962963	1.24528283584721	0.524329615093562
2020	80	70	10	0.8750000000	0.1250000000	1.6783933210687538	0.2397704744383934
2021	78	67	11	0.8589743590	0.1410256410	1.6457727626523755	0.2702014983459124
2022	48	44	4	0.9166666667	0.0833333333	1.3331737968689747	0.1211976178971795
