period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	5	0	5	0.0000000000	1.0000000000	0.0	0.7305175000580761
2004	61	2	59	0.0327868852	0.9672131148	0.02073360512463395	0.6116413511767015
2005	164	3	161	0.0182926829	0.9817073171	0.012909766366062614	0.692824128312027
2006	436	8	428	0.0183486239	0.9816513761	0.017052495942497144	0.912308532923597
2007	599	11	588	0.0183639399	0.9816360601	0.017324309858397894	0.9260631087943603
2008	503	10	493	0.0198807157	0.9801192843	0.016057925459042575	0.7916557251307991
2009	596	15	581	0.0251677852	0.9748322148	0.025285800429379186	0.9794033366312872
2010	342	11	331	0.0321637427	0.9678362573	0.026694137814208718	0.8032508742275533
2011	281	11	270	0.0391459075	0.9608540925	0.030496778521318504	0.7485572909778178
2012	269	5	264	0.0185873606	0.9814126394	0.01721683665033138	0.9090489751374967
2013	204	3	201	0.0147058824	0.9852941176	0.014439547170409971	0.967449660417468
2014	149	6	143	0.0402684564	0.9597315436	0.043306886419281605	1.032147459659545
2015	108	1	107	0.0092592593	0.9907407407	0.011259822971036481	1.2048010579009034
2016	67	1	66	0.0149253731	0.9850746269	0.01563480888822625	1.0318973866229326
2017	90	5	85	0.0555555556	0.9444444444	0.08122700605605813	1.3808591029529884
2018	76	3	73	0.0394736842	0.9605263158	0.053050232770274666	1.2908889974100168
2019	43	0	43	0.0000000000	1.0000000000	0.0	0.9394238937092987
2020	43	0	43	0.0000000000	1.0000000000	0.0	1.0310130400850916
2021	54	1	53	0.0185185185	0.9814814815	0.02456377257690113	1.3018799465757598
2022	43	2	41	0.0465116279	0.9534883721	0.06059880894858975	1.2422755834460901
