period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	308	9	299	0.0292207792	0.9707792208	1.314931500104537	43.68494650347295
2004	2793	60	2733	0.0214822771	0.9785177229	0.6220081537390185	28.332471402812292
2005	7495	120	7375	0.0160106738	0.9839893262	0.5163906546425046	31.73650898323726
2006	16356	265	16091	0.0162020054	0.9837979946	0.5648639280952178	34.29896402634019
2007	22895	310	22585	0.0135400743	0.9864599257	0.48823055055484976	35.569958013810584
2008	22474	266	22208	0.0118358993	0.9881641007	0.42714081721053254	35.66144085944175
2009	22054	265	21789	0.0120159608	0.9879840392	0.446715807585699	36.730153703716205
2010	16616	178	16438	0.0107125662	0.9892874338	0.4319596846299229	39.89074885363299
2011	14173	128	14045	0.0090312566	0.9909687434	0.35487160461170625	38.93884130290167
2012	11473	114	11359	0.0099363724	0.9900636276	0.3925438756275554	39.11320950222282
2013	8301	100	8201	0.0120467414	0.9879532586	0.48131823901366577	39.47290878151073
2014	5794	76	5718	0.0131170176	0.9868829824	0.5485538946442338	41.27146275757537
2015	3786	51	3735	0.0134706815	0.9865293185	0.5742509715228605	42.05543879682126
2016	2825	31	2794	0.0109734513	0.9890265487	0.48467907553501377	43.68365603370414
2017	2778	35	2743	0.0125989921	0.9874010079	0.5685890423924069	44.561135522353496
2018	2403	26	2377	0.0108198086	0.9891801914	0.4597686840090471	42.03346776498096
2019	1900	12	1888	0.0063157895	0.9936842105	0.262164807546781	41.24726305402688
2020	1935	23	1912	0.0118863049	0.9881136951	0.5514720912083048	45.84411471262082
2021	1765	18	1747	0.0101983003	0.9898016997	0.4421479063842203	42.912910691846264
2022	1473	20	1453	0.0135777325	0.9864222675	0.6059880894858976	44.02503470115046
