period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1	0	1	0.0000000000	1.0000000000	0.0	0.14610350001161523
2004	16	0	16	0.0000000000	1.0000000000	0.0	0.1658688409970716
2005	38	5	33	0.1315789474	0.8684210526	0.02151627727677102	0.14200743002668875
2006	99	11	88	0.1111111111	0.8888888889	0.02344718192093357	0.18757745536746856
2007	154	24	130	0.1558441558	0.8441558442	0.0377984942365045	0.20474184378106602
2008	131	26	105	0.1984732824	0.8015267176	0.0417506061935107	0.16860821731994705
2009	179	32	147	0.1787709497	0.8212290503	0.05394304091600893	0.24780084420791607
2010	178	27	151	0.1516853933	0.8483146067	0.06552197463487595	0.366437709995047
2011	164	29	135	0.1768292683	0.8231707317	0.0804005979198397	0.3742786454889089
2012	164	30	134	0.1829268293	0.8170731707	0.10330101990198827	0.4614112222288809
2013	139	29	110	0.2086330935	0.7913669065	0.13958228931396305	0.5294500629150323
2014	115	24	91	0.2086956522	0.7913043478	0.17322754567712642	0.6568211106924379
2015	68	6	62	0.0882352941	0.9117647059	0.06755893782621888	0.6981090242042618
2016	47	3	44	0.0638297872	0.9361702128	0.046904426664678756	0.687931591081955
2017	50	7	43	0.1400000000	0.8600000000	0.11371780847848138	0.6985522520820999
2018	63	10	53	0.1587301587	0.8412698413	0.1768341092342489	0.9372207789415191
2019	39	3	36	0.0769230769	0.9230769231	0.06554120188669525	0.7864944226403431
2020	32	4	28	0.1250000000	0.8750000000	0.09590818977535737	0.6713573284275016
2021	23	6	17	0.2608695652	0.7391304348	0.14738263546140676	0.4175841338073191
2022	36	10	26	0.2777777778	0.7222222222	0.3029940447429488	0.7877845163316668
