period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	23	6	17	0.2608695652	0.7391304348	0.8766210000696913	2.483759500197459
2004	190	37	153	0.1947368421	0.8052631579	0.38357169480572806	1.5861207920344973
2005	467	79	388	0.1691648822	0.8308351178	0.33995718097298216	1.6696631166774312
2006	855	176	679	0.2058479532	0.7941520468	0.3751549107349371	1.447330593119445
2007	1189	195	994	0.1640033642	0.8359966358	0.30711276567159906	1.565487636295228
2008	1448	228	1220	0.1574585635	0.8425414365	0.36612070046617073	1.9590669060031942
2009	1378	235	1143	0.1705370102	0.8294629898	0.3961442067269406	1.926777992718694
2010	1082	230	852	0.2125693161	0.7874306839	0.5581501542970914	2.06758231070053
2011	1137	226	911	0.1987686895	0.8012313105	0.6265701768925438	2.525687748447378
2012	1169	206	963	0.1762189906	0.8237810094	0.7093336699936528	3.3159627388538233
2013	1063	215	848	0.2022577611	0.7977422389	1.0348342138793813	4.0815786668358855
2014	764	115	649	0.1505235602	0.8494764398	0.8300486563695642	4.6843615476856275
2015	563	89	474	0.1580817052	0.8419182948	1.0021242444222467	5.337156088271292
2016	297	37	260	0.1245791246	0.8754208754	0.5784879288643713	4.065050310938825
2017	387	64	323	0.1653746770	0.8346253230	1.039705677517544	5.247264591221356
2018	387	86	301	0.2222222222	0.7777777778	1.5207733394145406	5.322706687950892
2019	374	68	306	0.1818181818	0.8181818182	1.4856005760984259	6.685202592442916
2020	297	46	251	0.1548821549	0.8451178451	1.1029441824166095	6.018238908403674
2021	406	83	323	0.2044334975	0.7955665025	2.0387931238827934	7.934098542339064
2022	268	42	226	0.1567164179	0.8432835821	1.272574987920385	6.847665411190643
