verb	freq	jaggedness	slope	unpredictability	r2	p	max
anse	17296	1.233095807	-0.0010997	4	0.9688243	0	0.926823102925
försöka	924745	1.040869749	0.0017742	0	0.9461872	0	0.966766153325
fortsätta	136437	1.061067344	0.0064569	1	0.9378198	0	0.672144540657143
hinna	230378	1.146377093	0.0004018	3	0.8376529	0	0.9926265581
vägra	212118	1.118071213	0.0027362	3	0.8257279	0.0000001	0.86882138704
glömma	112680	1.250074913	-0.0016686	5	0.8060882	0.0000002	0.857035008514286
komma	2676420	1.12244389	0.0101247	5	0.7975629	0.0000003	0.674338159385714
tendera	11012	1.241294149	0.0014146	6	0.7481606	0.0000018	0.096182194225
lova	30545	1.333981435	0.0008906	7	0.7451386	0.000002	0.130752680683333
sluta	245858	1.210216392	0.0011358	6	0.723398	0.000004	0.944564317971429
börja	1652378	1.134478568	0.0004981	5	0.7218278	0.0000042	0.991539809625
lyckas	169289	1.166892069	0.0002822	4	0.7010594	0.0000078	0.9895054682
riskera	32256	1.251952977	0.0016837	6	0.6859354	0.0000119	0.135954828225
behöva	770875	1.352191102	0.0000212	4	0.5580617	0.0002376	0.99914298395
låtsas	9079	1.325514161	0.0002769	6	0.5338056	0.0003813	0.9894513492
planera	46610	1.365183975	0.0007283	9	0.4444465	0.0018254	0.0900795363833333
bruka	1049629	1.416250753	0.0000068	5	0.2231046	0.0411464	0.999676116928571
råka	129308	1.428827447	0.0000147	8	0.2190073	0.0433158	0.999540527614286
slippa	227375	1.43442713	0.0001731	7	0.1614655	0.0881268	0.978577061371429
orka	240888	1.456130073	-0.0000448	10	0.0570766	0.3246063	0.989877157671429
våga	171107	1.282930901	-0.0000036	9	0.003254	0.8165733	0.995236613442857
