verb	pasyms1	pmids1	pgrowths1	pasyms3	pmids3	pgrowths3	pasyms5	pmids5	pgrowths5
planera	0.31	0.24	0.31	0.43	0.39	0.4			
riskera				0.06	0.01	0.01	0.05	0.01	0.01
fortsätta	0.36	0.12	0.05	0.19	0.08	0.04	0.07	0.09	0.03
komma	0.27	0.02	0.02	0.43	0.16	0.01	0.35	0.12	0.01
glömma	0.34	0.27	0.3	0.27	0.22	0.22	0.45	0.44	0.44
vägra				0.38	0.04	0.04	0.36	0.07	0.01
sluta									
slippa	0.31	0.04	0.07	0.3	0.05	0.08	0.34	0.1	0.13
försöka	0.01	0.03	0.05	0.04	0.04	0.04	0.04	0.0	0.02
lyckas									
hinna	0.22	0.06	0.03	0.36	0.16	0.25	0.25	0.09	0.18
börja	0.25	0.02	0.01				0.32	0.0	0.0
orka									
våga									
behöva									
bruka									
råka							0.0	0.08	0.07
