verb	signif	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth	agreement
planera	1	46827	0.124	0.058	0.066	0.018	true	719	0.077	2027	1.55	0.104	true	558	0.076	2030	2.27	0.104	true	582	0.076	2035	3.56	yes
lova	0	30644	0.188	0.091	0.097	NA			0.0	0	0.0	0.082	true	584	0.116	2037	4.26	0.12	true	614	0.114	2041	5.64	yes
tendera	1	11187	0.133	0.047	0.086	NA			0.0	0	0.0	0.064	true	591	0.066	2035	3.78	0.027	true	618	0.067	2037	4.25	yes
riskera	1	32748	0.161	0.095	0.065	0.002	true	656	0.101	2040	5.78	0.06	true	599	0.103	2039	5.46	0.201	true	631	0.101	2042	6.33	yes
fortsätta	3	137762	0.69	0.536	0.155	0.0	false	638	0.688	1996	6.27	0.0	false	609	0.689	1995	6.62	0.0	false	549	0.695	1994	7.63	yes
komma	3	2519646	0.704	0.409	0.295	0.0	false	665	0.679	2003	2.67	0.0	false	589	0.682	2002	3.0	0.001	false	542	0.684	2002	3.48	yes
glömma	1	113035	0.866	0.793	0.073	0.0	false	656	0.851	2031	-3.11	0.057	false	599	0.853	2033	-3.74	0.128	false	600	0.854	2036	-4.57	yes
vägra	3	213407	0.877	0.793	0.083	0.0	false	644	0.867	1996	3.45	0.002	false	582	0.868	1994	4.01	0.022	false	602	0.869	1992	4.64	yes
sluta	1	187244	0.942	0.919	0.023	0.0	false	637	0.935	1994	2.52	0.143	false	639	0.935	1994	2.58	0.146	false	616	0.935	1993	2.73	yes
slippa	1	228226	0.981	0.968	0.013	0.01	false	673	0.976	1995	1.91	0.379	false	610	0.976	1995	1.9	0.378	false	610	0.976	1995	1.96	yes
försöka	3	931759	0.97	0.921	0.049	0.0	false	658	0.968	1987	5.5	0.0	false	590	0.97	1982	6.92	0.0	false	629	0.972	1978	8.27	yes
låtsas	0	9305	0.992	0.972	0.019	NA			0.0	0	0.0	0.148	true	513	0.982	2023	2.29	0.201	true	546	0.983	2023	2.18	yes
lyckas	2	170580	0.994	0.979	0.015	0.0	false	668	0.989	1995	2.07	0.037	false	630	0.989	1991	2.66	0.09	false	634	0.989	1988	3.23	yes
hinna	1	231128	0.995	0.982	0.013	0.0	false	664	0.991	1992	2.61	NA			0.0	0	0.0	0.166	false	617	0.991	1988	3.34	yes
börja	3	1659893	0.994	0.977	0.017	0.0	false	713	0.992	1992	2.81	0.0	false	599	0.992	1990	3.21	0.017	false	616	0.992	1988	3.6	yes
orka	0	241951	0.992	0.982	0.01	NA			0.0	0	0.0	0.317	false	649	0.989	2049	-4.29	0.361	false	625	0.989	2050	-4.51	yes
våga	1	172470	0.997	0.992	0.005	0.236	false	700	0.995	1985	2.77	0.018	false	659	0.995	1991	1.98	NA			0.0	0	0.0	yes
behöva	0	779085	1.0	0.998	0.002	NA			0.0	0	0.0	0.116	false	691	0.999	1990	1.86	0.15	false	690	0.999	1987	2.2	yes
bruka	1	1054833	1.0	0.999	0.001	0.013	false	766	1.0	1988	2.0	0.236	false	710	1.0	1989	1.91	0.235	false	725	1.0	1989	1.86	yes
råka	0	130313	1.0	0.997	0.003	NA			0.0	0	0.0	0.269	false	659	0.999	2032	-1.19	0.239	false	668	0.999	2037	-1.93	yes
torde	0	6299	1.0	1.0	0.0	NA			0.0	0	0.0	NA			0.0	0	0.0	NA			0.0	0	0.0	yes
