verb	freq	jaggedness	slope	unpredictability	r2	p
planera	46610.0	1.514657476	0.0006208	6	0.2635422	0.0245748
lova	30545.0	1.562042676	0.00099	7	0.5796547	0.0001528
tendera	11012.0	1.364566177	0.001529	5	0.6017894	9.49e-05
riskera	32256.0	1.301346058	0.0018326	7	0.6407165	3.86e-05
fortsätta	136437.0	1.077340438	0.0067869	3	0.9216441	0.0
komma	2676420.0	1.14902974	0.0106812	5	0.74947	1.7e-06
glömma	112680.0	1.468574781	-0.0017487	8	0.6645398	2.12e-05
vägra	212118.0	1.169379162	0.0029727	5	0.7764904	6.0e-07
anse	17296.0	1.349081322	-0.0011149	8	0.9436926	0.0
sluta	245858.0	1.274049434	0.0011664	6	0.6604015	2.36e-05
slippa	227375.0	1.551319286	0.0002221	7	0.182311	0.0682666
försöka	924745.0	1.051605845	0.0018613	0	0.9256927	0.0
låtsas	9079.0	1.690008549	0.000275	8	0.3112913	0.013052
lyckas	169289.0	1.474862873	0.0002948	7	0.5457183	0.0003032
hinna	230378.0	1.218077665	0.0004376	3	0.7693592	8.0e-07
börja	1652378.0	1.182845674	0.000541	4	0.6757231	1.58e-05
orka	240888.0	1.706798981	-2.38e-05	11	0.0109701	0.6695795
våga	171107.0	1.665835994	1.09e-05	6	0.0187753	0.5759089
behöva	770875.0	1.453389087	2.6e-05	6	0.4715512	0.0011647
bruka	1049629.0	1.524381186	8.6e-06	7	0.2072005	0.0501916
råka	129308.0	1.847680966	1.4e-05	10	0.1022572	0.1820042
