verb	freq	slope	r2	max-min	max
planera	46827.0	0.0014	0.39	0.05	0.12
lova	30644.0	0.00155	0.57	0.05	0.15
tendera	11187.0	0.0017	0.55	0.05	0.11
riskera	32748.0	0.00182	0.58	0.04	0.14
fortsätta	137762.0	0.0067	0.89	0.13	0.68
komma	2519646.0	0.01036	0.67	0.25	0.69
glömma	113035.0	-0.00223	0.58	0.06	0.86
vägra	213407.0	0.00298	0.74	0.07	0.87
anse	17444.0	-0.00106	0.83	0.02	0.93
sluta	187244.0	0.00056	0.35	0.02	0.94
slippa	228226.0	7.0e-05	0.01	0.01	0.98
försöka	931759.0	0.00184	0.89	0.04	0.97
låtsas	9305.0	0.00032	0.28	0.01	0.99
lyckas	170580.0	0.00031	0.52	0.01	0.99
hinna	231128.0	0.00032	0.37	0.01	0.99
börja	1659893.0	0.00049	0.57	0.01	0.99
orka	241951.0	-6.0e-05	0.05	0.01	0.99
våga	172470.0	2.0e-05	0.05	0.0	1.0
behöva	779085.0	2.0e-05	0.22	0.0	1.0
bruka	1054833.0	1.0e-05	0.16	0.0	1.0
råka	130313.0	-1.0e-05	0.04	0.0	1.0
