verb	freq	slope	abs_slope	r2	max-min	max
hota	11179.0	0.0032100329094372796	0.0032100329094372796	0.5148096073845959	0.08868374413333338	0.2504683805666667
planera	40545.0	0.0031013093578355936	0.0031013093578355936	0.6629428700365726	0.06692438259999998	0.13126555853333333
lova	17232.0	0.006191870855757668	0.006191870855757668	0.9324166197337975	0.12264707773333335	0.19440854223333334
tendera	43575.0	0.003184962303376682	0.003184962303376682	0.7937968637344351	0.060247863916666665	0.10317876006666667
riskera	64593.0	0.004862891986147309	0.004862891986147309	0.7718199454138472	0.08913149606666666	0.190972578
avse	15918.0	0.007302184417099668	0.007302184417099668	0.91042355984794	0.1466477452833333	0.3742103381333333
fortsätta	179951.0	0.0031402907201731624	0.0031402907201731624	0.5996719684764299	0.09358336540000001	0.6009367295
komma	3335078.0	0.0064018342273159685	0.0064018342273159685	0.4517196779314757	0.20496105868333325	0.6655635810333332
förmå	12829.0	-0.006319717544502241	0.006319717544502241	0.8205834401960566	0.15396522155000003	0.82181622965
glömma	56484.0	-0.0012960907185715041	0.0012960907185715041	0.20495718316052955	0.05189571834999995	0.7759747793999999
behaga	4771.0	-0.00167404670090906	0.00167404670090906	0.3582103415716099	0.0659318185833333	0.91277890465
vägra	190341.0	0.001172973332294374	0.001172973332294374	0.48072841249351467	0.040259446600000026	0.82924401415
anse	39483.0	-0.0020208980823377253	0.0020208980823377253	0.7956955402660474	0.042223636200000136	0.9618774983000001
sluta	148165.0	0.0003191613955844034	0.0003191613955844034	0.06256539032585405	0.023239227466666623	0.9097102127666666
idas	4396.0	-0.00035013942268401227	0.00035013942268401227	0.07595149580430595	0.035964994899999936	0.9817989946
slippa	132575.0	0.00020666771285712723	0.00020666771285712723	0.2070360918097042	0.010483861583333365	0.9700288028333333
försöka	1112479.0	0.00021513372974024236	0.00021513372974024236	0.4793729046328205	0.008918048283333202	0.9741285244333332
låtsas	29031.0	-0.00014472718038960808	0.00014472718038960808	0.14284361073283866	0.009872126716666707	0.9942965779499999
lyckas	309822.0	-8.69049154978359e-05	8.69049154978359e-05	0.19831252691370294	0.005072414266666492	0.9876921491666666
hinna	106570.0	-0.00028236471904763524	0.00028236471904763524	0.49444379965581997	0.009439293899999979	0.9918612300666667
börja	1299462.0	-0.0003364948051082456	0.0003364948051082456	0.21926318266346453	0.01829280243333331	0.9886098316333333
orka	163512.0	-0.0003434872216883177	0.0003434872216883177	0.8845376205406352	0.007428102600000042	0.99308998635
våga	205454.0	-5.8518208528140865e-05	5.8518208528140865e-05	0.28103474024060976	0.002787801150000102	0.99429434885
behöva	621498.0	-1.8547108484848512e-05	1.8547108484848512e-05	0.23799279336031867	0.0008544924333334647	0.9987983829333333
bruka	876214.0	-1.5339246969709596e-05	1.5339246969709596e-05	0.22602824305393163	0.0007179378666667402	0.9996638640666666
råka	197170.0	-6.766485082253003e-05	6.766485082253003e-05	0.5962045825774837	0.0018073765333332936	0.9993943237333333
torde	58040.0	-1.0779802077935834e-05	1.0779802077935834e-05	0.19195876436467407	0.0004912829666666729	1.0
ämna	10601.0	-0.005777219238441594	0.005777219238441594	0.6478963337518805	0.14718284564999995	0.88486842105
förefalla	13615.0	0.0007069183067532368	0.0007069183067532368	0.4569627904784326	0.022675350233333336	0.9600427393666666
