verb	freq	asym	mid	growth	r2	max-min	max
planera	87372.0	0.0	0.0	0.0	0.0	0.06152	0.12674
lova	47876.0	0.0	0.0	0.0	0.0	0.09209	0.19358
tendera	54762.0	0.10416	2006.32246	6.79406	0.85551	0.04914	0.09929
riskera	97341.0	0.10416	2006.32246	6.79406	0.95435	0.08543	0.18659
fortsätta	317713.0	0.60166	1999.71955	2.17217	0.88497	0.07603	0.61126
komma	5854724.0	0.65001	2002.48482	2.30303	0.9409	0.21595	0.66418
förmå	16262.0	0.65001	2002.48482	2.30303	0.86033	0.14909	0.81712
glömma	169519.0	0.91144	2047.38568	-17.02713	0.93958	0.11755	0.84676
vägra	403748.0	0.82995	1999.58088	1.41192	0.56117	0.04423	0.84318
anse	56927.0	0.9451	2041.02015	-4.95404	0.82058	0.0263	0.94619
sluta	335409.0	0.94981	2141.84588	-39.20987	0.43507	0.02253	0.92725
slippa	360801.0	0.97216	2045.01706	-4.11148	0.26672	0.00922	0.97545
försöka	2044238.0	0.97405	1981.32648	6.80371	0.99263	0.03182	0.9732
låtsas	38336.0	0.97405	1981.32648	6.80371	0.81288	0.00777	0.98991
lyckas	480402.0	0.97405	1981.32648	6.80371	0.7448	0.00517	0.98807
hinna	337698.0	0.98795	2030.37114	-1.18944	0.27523	0.00658	0.99014
börja	2959355.0	0.98725	2028.67408	-1.16397	0.68256	0.01896	0.98966
orka	405463.0	0.98725	2028.67408	-1.16397	-3.11763	0.00433	0.98967
våga	377924.0	0.99457	2094.99304	-11.80685	0.69521	0.00244	0.99445
behöva	1400583.0	0.99457	2094.99304	-11.80685	-3.5194	0.0006	0.99884
bruka	1931047.0	0.99457	2094.99304	-11.80685	-6.54432	0.0005	0.99961
råka	327483.0	0.99958	2106.05913	-12.51906	0.52598	0.00155	0.99943
torde	64339.0	0.99958	2106.05913	-12.51906	-4.04447	0.00048	1.0
